p,v,cp,rcp,a,ba,sa,hl,pcp,t
17000.0,4000,600.0,0.0,,31800.0,200.0,False,0.0,14:45:02
17000.0,200,600.0,0.0,BU,31800.0,200.0,False,50.0,14:29:06
16950.0,5000,550.0,0.0,BU,31600.0,200.0,False,0.0,14:29:06
16950.0,1300,550.0,0.0,BU,26600.0,200.0,False,550.0,14:29:06
16400.0,100,0.0,0.0,SD,25300.0,200.0,False,-400.0,14:29:06
16800.0,100,400.0,0.0,SD,25300.0,100.0,False,-150.0,14:28:12
16950.0,5000,550.0,0.0,BU,25300.0,0.0,False,150.0,14:27:58
16800.0,4900,400.0,0.0,BU,20300.0,0.0,False,0.0,14:27:47
16800.0,100,400.0,0.0,BU,15400.0,0.0,False,0.0,14:27:39
16800.0,2000,400.0,0.0,BU,15300.0,0.0,False,0.0,14:27:39
16800.0,300,400.0,0.0,BU,13300.0,0.0,False,100.0,14:27:39
16700.0,1000,300.0,0.0,BU,13000.0,0.0,False,50.0,14:27:39
16650.0,100,250.0,0.0,BU,12000.0,0.0,False,50.0,14:27:39
16600.0,100,200.0,0.0,BU,11900.0,0.0,False,100.0,14:27:39
16500.0,1400,100.0,0.0,BU,11800.0,0.0,False,0.0,14:27:39
16500.0,1600,100.0,0.0,BU,10400.0,0.0,False,0.0,14:27:20
16500.0,100,100.0,0.0,BU,8800.0,0.0,False,0.0,14:27:20
16500.0,300,100.0,0.0,BU,8700.0,0.0,False,0.0,14:27:20
16500.0,2000,100.0,0.0,BU,8400.0,0.0,False,50.0,14:27:20
16450.0,1000,50.0,0.0,BU,6400.0,0.0,False,50.0,14:27:20
16400.0,100,0.0,0.0,BU,5400.0,0.0,False,0.0,14:27:03
16400.0,1200,0.0,0.0,BU,5300.0,0.0,False,50.0,14:27:03
16350.0,3500,-50.0,0.0,BU,4100.0,0.0,False,50.0,14:27:03
16300.0,100,-100.0,0.0,BU,600.0,0.0,False,300.0,14:27:03
16000.0,100,-400.0,0.0,BU,500.0,0.0,False,0.0,10:44:40
16000.0,100,-400.0,0.0,BU,400.0,0.0,False,0.0,10:31:32
16000.0,200,-400.0,0.0,BU,300.0,0.0,False,-150.0,10:31:32
16150.0,100,-250.0,0.0,BU,100.0,0.0,False,0.0,09:45:43
