p,v,cp,rcp,a,ba,sa,hl,pcp,t
65800.0,6000,-400.0,0.0,,35200.0,22900.0,False,-200.0,14:45:01
66000.0,800,-200.0,0.0,BU,35200.0,22900.0,False,0.0,14:05:23
66000.0,1500,-200.0,0.0,BU,34400.0,22900.0,False,100.0,14:05:10
65900.0,1000,-300.0,0.0,BU,32900.0,22900.0,False,0.0,14:04:56
65900.0,1000,-300.0,0.0,BU,31900.0,22900.0,False,-100.0,14:00:45
66000.0,1500,-200.0,0.0,BU,30900.0,22900.0,False,0.0,13:57:46
66000.0,900,-200.0,0.0,BU,29400.0,22900.0,False,0.0,13:57:35
66000.0,700,-200.0,0.0,BU,28500.0,22900.0,False,-100.0,13:57:22
66100.0,1300,-100.0,0.0,BU,27800.0,22900.0,False,0.0,13:56:35
66100.0,1500,-100.0,0.0,BU,26500.0,22900.0,False,100.0,13:56:22
66000.0,1500,-200.0,0.0,BU,25000.0,22900.0,False,100.0,13:56:10
65900.0,1500,-300.0,0.0,BU,23500.0,22900.0,False,100.0,13:55:59
65800.0,800,-400.0,0.0,SD,22000.0,22900.0,False,0.0,13:55:11
65800.0,600,-400.0,0.0,SD,22000.0,22100.0,False,-100.0,13:55:00
65900.0,1000,-300.0,0.0,SD,22000.0,21500.0,False,200.0,13:54:49
65700.0,700,-500.0,0.0,SD,22000.0,20500.0,False,0.0,13:53:08
65700.0,600,-500.0,0.0,SD,22000.0,19800.0,False,-100.0,13:52:56
65800.0,900,-400.0,0.0,SD,22000.0,19200.0,False,0.0,13:52:47
65800.0,700,-400.0,0.0,SD,22000.0,18300.0,False,0.0,13:52:42
65800.0,600,-400.0,0.0,SD,22000.0,17600.0,False,0.0,13:34:16
65800.0,600,-400.0,0.0,SD,22000.0,17000.0,False,-100.0,13:34:08
65900.0,1000,-300.0,0.0,SD,22000.0,16400.0,False,200.0,13:34:02
65700.0,500,-500.0,0.0,SD,22000.0,15400.0,False,0.0,13:31:12
65700.0,700,-500.0,0.0,SD,22000.0,14900.0,False,-100.0,13:31:03
65800.0,900,-400.0,0.0,SD,22000.0,14200.0,False,0.0,13:30:49
65800.0,600,-400.0,0.0,SD,22000.0,13300.0,False,100.0,13:30:27
65700.0,400,-500.0,0.0,SD,22000.0,12700.0,False,0.0,13:29:14
65700.0,500,-500.0,0.0,SD,22000.0,12300.0,False,-100.0,13:29:07
65800.0,800,-400.0,0.0,SD,22000.0,11800.0,False,-100.0,13:27:25
65900.0,1200,-300.0,0.0,BU,22000.0,11000.0,False,-100.0,13:26:57
66000.0,1400,-200.0,0.0,BU,20800.0,11000.0,False,100.0,13:16:13
65900.0,1100,-300.0,0.0,BU,19400.0,11000.0,False,-100.0,13:15:49
66000.0,1500,-200.0,0.0,BU,18300.0,11000.0,False,100.0,11:01:24
65900.0,1500,-300.0,0.0,BU,16800.0,11000.0,False,-100.0,11:01:16
66000.0,300,-200.0,0.0,BU,15300.0,11000.0,False,0.0,10:25:48
66000.0,700,-200.0,0.0,BU,15000.0,11000.0,False,0.0,10:16:24
66000.0,1000,-200.0,0.0,BU,14300.0,11000.0,False,100.0,10:16:18
65900.0,1500,-300.0,0.0,BU,13300.0,11000.0,False,-200.0,10:15:59
66100.0,1300,-100.0,0.0,BU,11800.0,11000.0,False,100.0,10:12:25
66000.0,100,-200.0,0.0,BU,10500.0,11000.0,False,0.0,10:07:13
66000.0,1500,-200.0,0.0,BU,10400.0,11000.0,False,0.0,10:07:03
66000.0,1200,-200.0,0.0,BU,8900.0,11000.0,False,200.0,09:45:30
65800.0,1200,-400.0,0.0,BU,7700.0,11000.0,False,-200.0,09:45:24
66000.0,1400,-200.0,0.0,BU,6500.0,11000.0,False,0.0,09:42:24
66000.0,1500,-200.0,0.0,BU,5100.0,11000.0,False,300.0,09:42:17
65700.0,700,-500.0,0.0,BU,3600.0,11000.0,False,0.0,09:40:03
65700.0,500,-500.0,0.0,SD,2900.0,11000.0,False,0.0,09:39:29
65700.0,500,-500.0,0.0,SD,2900.0,10500.0,False,-100.0,09:38:52
65800.0,800,-400.0,0.0,SD,2900.0,10000.0,False,0.0,09:38:38
65800.0,800,-400.0,0.0,SD,2900.0,9200.0,False,100.0,09:37:43
65700.0,800,-500.0,0.0,SD,2900.0,8400.0,False,0.0,09:34:12
65700.0,500,-500.0,0.0,SD,2900.0,7600.0,False,-100.0,09:33:58
65800.0,700,-400.0,0.0,SD,2900.0,7100.0,False,-100.0,09:33:46
65900.0,800,-300.0,0.0,SD,2900.0,6400.0,False,0.0,09:33:33
65900.0,700,-300.0,0.0,SD,2900.0,5600.0,False,200.0,09:33:13
65700.0,500,-500.0,0.0,BU,2900.0,4900.0,False,-100.0,09:32:16
65800.0,600,-400.0,0.0,SD,2400.0,4900.0,False,0.0,09:28:08
65800.0,400,-400.0,0.0,SD,2400.0,4300.0,False,-100.0,09:27:58
65900.0,800,-300.0,0.0,SD,2400.0,3900.0,False,0.0,09:27:45
65900.0,700,-300.0,0.0,SD,2400.0,3100.0,False,200.0,09:27:36
65700.0,500,-500.0,0.0,BU,2400.0,2400.0,False,0.0,09:24:39
65700.0,500,-500.0,0.0,SD,1900.0,2400.0,False,-100.0,09:24:26
