p,v,cp,rcp,a,ba,sa,hl,pcp,t
32450.0,100,250.0,0.0,,400.0,4900.0,False,200.0,14:45:01
32250.0,300,50.0,0.0,BU,400.0,4900.0,False,650.0,14:22:12
31600.0,100,-600.0,0.0,SD,100.0,4900.0,False,0.0,10:53:04
31600.0,100,-600.0,0.0,SD,100.0,4800.0,False,-100.0,10:53:04
31700.0,100,-500.0,0.0,SD,100.0,4700.0,False,-100.0,10:52:49
31800.0,100,-400.0,0.0,SD,100.0,4600.0,False,-100.0,10:51:09
31900.0,100,-300.0,0.0,SD,100.0,4500.0,False,-100.0,10:50:55
32000.0,100,-200.0,0.0,BU,100.0,4400.0,False,0.0,10:45:28
32000.0,100,-200.0,0.0,SD,0.0,4400.0,False,0.0,10:42:37
32000.0,200,-200.0,0.0,SD,0.0,4300.0,False,0.0,10:42:37
32000.0,500,-200.0,0.0,SD,0.0,4100.0,False,0.0,10:39:20
32000.0,1000,-200.0,0.0,SD,0.0,3600.0,False,0.0,10:39:20
32000.0,2000,-200.0,0.0,SD,0.0,2600.0,False,0.0,10:39:20
32000.0,100,-200.0,0.0,SD,0.0,600.0,False,-200.0,10:39:20
32200.0,300,0.0,0.0,SD,0.0,500.0,False,0.0,10:39:20
32200.0,100,0.0,0.0,SD,0.0,200.0,False,200.0,10:39:20
32000.0,100,-200.0,0.0,SD,0.0,100.0,False,0.0,10:10:16
