p,v,cp,rcp,a,ba,sa,hl,pcp,t
19200.0,7100,1100.0,0.1,BU,80700.0,59000.0,False,200.0,14:57:36
19000.0,500,900.0,0.0,SD,73600.0,59000.0,False,0.0,14:57:07
19000.0,2400,900.0,0.0,BU,73600.0,58500.0,False,0.0,14:47:49
19000.0,1600,900.0,0.0,BU,71200.0,58500.0,False,0.0,14:41:53
19000.0,1200,900.0,0.0,SD,69600.0,58500.0,False,-100.0,14:41:07
19100.0,500,1000.0,0.1,BU,69600.0,57300.0,False,-100.0,14:40:44
19200.0,1200,1100.0,0.1,BU,69100.0,57300.0,False,0.0,14:30:03
19200.0,2000,1100.0,0.1,BU,67900.0,57300.0,False,0.0,14:29:17
19200.0,3800,1100.0,0.1,BU,65900.0,57300.0,False,0.0,14:26:30
19200.0,200,1100.0,0.1,SD,62100.0,57300.0,False,0.0,14:26:25
19200.0,100,1100.0,0.1,SD,62100.0,57100.0,False,-100.0,14:25:50
19300.0,200,1200.0,0.1,BU,62100.0,57000.0,False,0.0,14:25:14
19300.0,200,1200.0,0.1,BU,61900.0,57000.0,False,0.0,14:25:12
19300.0,100,1200.0,0.1,BU,61700.0,57000.0,False,0.0,14:20:29
19300.0,1000,1200.0,0.1,BU,61600.0,57000.0,False,100.0,14:18:48
19200.0,900,1100.0,0.1,SD,60600.0,57000.0,False,0.0,14:17:17
19200.0,9000,1100.0,0.1,BU,60600.0,56100.0,False,200.0,14:16:59
19000.0,100,900.0,0.0,BU,51600.0,56100.0,False,0.0,14:12:28
19000.0,800,900.0,0.0,BU,51500.0,56100.0,False,0.0,14:11:56
19000.0,1100,900.0,0.0,BU,50700.0,56100.0,False,0.0,14:06:37
19000.0,500,900.0,0.0,SD,49600.0,56100.0,False,0.0,14:02:37
19000.0,400,900.0,0.0,SD,49600.0,55600.0,False,-100.0,13:59:42
19100.0,100,1000.0,0.1,BU,49600.0,55200.0,False,0.0,13:58:16
19100.0,600,1000.0,0.1,BU,49500.0,55200.0,False,200.0,13:53:13
18900.0,300,800.0,0.0,SD,48900.0,55200.0,False,0.0,13:46:09
18900.0,400,800.0,0.0,SD,48900.0,54900.0,False,-100.0,13:45:55
19000.0,200,900.0,0.0,BU,48900.0,54500.0,False,0.0,13:40:56
19000.0,1000,900.0,0.0,BU,48700.0,54500.0,False,100.0,13:35:51
18900.0,100,800.0,0.0,SD,47700.0,54500.0,False,0.0,13:35:21
18900.0,2000,800.0,0.0,BU,47700.0,54400.0,False,0.0,13:34:12
18900.0,200,800.0,0.0,BU,45700.0,54400.0,False,0.0,13:33:34
18900.0,500,800.0,0.0,BU,45500.0,54400.0,False,0.0,13:32:08
18900.0,100,800.0,0.0,BU,45000.0,54400.0,False,0.0,13:31:21
18900.0,100,800.0,0.0,BU,44900.0,54400.0,False,0.0,13:25:29
18900.0,100,800.0,0.0,BU,44800.0,54400.0,False,0.0,13:23:56
18900.0,100,800.0,0.0,BU,44700.0,54400.0,False,0.0,13:21:17
18900.0,1800,800.0,0.0,SD,44600.0,54400.0,False,-100.0,13:20:42
19000.0,600,900.0,0.0,BU,44600.0,52600.0,False,0.0,13:18:40
19000.0,1500,900.0,0.0,BU,44000.0,52600.0,False,-100.0,13:14:51
19100.0,1200,1000.0,0.1,SD,42500.0,52600.0,False,0.0,13:01:56
19100.0,2000,1000.0,0.1,BU,42500.0,51400.0,False,100.0,13:00:05
19000.0,100,900.0,0.0,SD,40500.0,51400.0,False,0.0,13:00:03
19000.0,100,900.0,0.0,SD,40500.0,51300.0,False,0.0,11:14:22
19000.0,500,900.0,0.0,SD,40500.0,51200.0,False,-100.0,11:13:26
19100.0,400,1000.0,0.1,SD,40500.0,50700.0,False,0.0,11:10:30
19100.0,500,1000.0,0.1,SD,40500.0,50300.0,False,-100.0,11:10:09
19200.0,1000,1100.0,0.1,BU,40500.0,49800.0,False,0.0,11:08:12
19200.0,100,1100.0,0.1,BU,39500.0,49800.0,False,100.0,11:07:47
19100.0,1000,1000.0,0.1,SD,39400.0,49800.0,False,0.0,11:02:26
19100.0,500,1000.0,0.1,SD,39400.0,48800.0,False,-200.0,11:01:16
19300.0,200,1200.0,0.1,BU,39400.0,48300.0,False,200.0,10:48:08
19100.0,400,1000.0,0.1,SD,39200.0,48300.0,False,-100.0,10:46:42
19200.0,2000,1100.0,0.1,BU,39200.0,47900.0,False,100.0,10:46:29
19100.0,1200,1000.0,0.1,SD,37200.0,47900.0,False,0.0,10:44:34
19100.0,800,1000.0,0.1,SD,37200.0,46700.0,False,-100.0,10:42:09
19200.0,200,1100.0,0.1,BU,37200.0,45900.0,False,0.0,10:39:29
19200.0,100,1100.0,0.1,BU,37000.0,45900.0,False,0.0,10:37:52
19200.0,300,1100.0,0.1,SD,36900.0,45900.0,False,0.0,10:36:16
19200.0,100,1100.0,0.1,SD,36900.0,45600.0,False,0.0,10:36:14
19200.0,200,1100.0,0.1,SD,36900.0,45500.0,False,0.0,10:35:44
19200.0,100,1100.0,0.1,SD,36900.0,45300.0,False,0.0,10:34:07
19200.0,100,1100.0,0.1,SD,36900.0,45200.0,False,0.0,10:33:40
19200.0,100,1100.0,0.1,SD,36900.0,45100.0,False,-100.0,10:29:58
19300.0,100,1200.0,0.1,BU,36900.0,45000.0,False,100.0,10:27:13
19200.0,100,1100.0,0.1,SD,36800.0,45000.0,False,0.0,10:26:16
19200.0,300,1100.0,0.1,BU,36800.0,44900.0,False,100.0,10:23:35
19100.0,100,1000.0,0.1,SD,36500.0,44900.0,False,-100.0,10:23:34
19200.0,100,1100.0,0.1,BU,36500.0,44800.0,False,0.0,10:23:31
19200.0,700,1100.0,0.1,BU,36400.0,44800.0,False,0.0,10:19:52
19200.0,2200,1100.0,0.1,SD,35700.0,44800.0,False,0.0,10:19:29
19200.0,300,1100.0,0.1,SD,35700.0,42600.0,False,-100.0,10:19:11
19300.0,3600,1200.0,0.1,BU,35700.0,42300.0,False,0.0,10:10:35
