p,v,cp,rcp,a,ba,sa,hl,pcp,t
13650.0,3600,-50.0,0.0,,254700.0,2400.0,False,150.0,14:45:02
13500.0,100,-200.0,0.0,BU,254700.0,2400.0,False,0.0,14:23:00
13500.0,100,-200.0,0.0,BU,254600.0,2400.0,False,0.0,14:01:07
13500.0,200,-200.0,0.0,BU,254500.0,2400.0,False,50.0,14:01:07
13450.0,1100,-250.0,0.0,SD,254300.0,2400.0,False,0.0,13:52:22
13450.0,1000,-250.0,0.0,BU,254300.0,1300.0,False,0.0,13:52:22
13450.0,1000,-250.0,0.0,BU,253300.0,1300.0,False,0.0,13:50:26
13450.0,500,-250.0,0.0,BU,252300.0,1300.0,False,0.0,13:42:47
13450.0,500,-250.0,0.0,BU,251800.0,1300.0,False,0.0,13:42:40
13450.0,200,-250.0,0.0,SD,251300.0,1300.0,False,-50.0,13:41:39
13500.0,200,-200.0,0.0,BU,251300.0,1100.0,False,0.0,13:32:54
13500.0,1100,-200.0,0.0,SD,251100.0,1100.0,False,-100.0,10:43:38
13600.0,250000,-100.0,0.0,BU,251100.0,0.0,True,-50.0,09:47:09
13650.0,1000,-50.0,0.0,BU,1100.0,0.0,False,0.0,09:34:55
13650.0,100,-50.0,0.0,BU,100.0,0.0,False,150.0,09:34:55
13500.0,100,-200.0,0.0,,0.0,0.0,False,0.0,09:15:01
