p,v,cp,rcp,a,ba,sa,hl,pcp,t
11800.0,16100,600.0,0.1,,200300.0,258200.0,False,100.0,14:45:01
11700.0,300,500.0,0.0,SD,200300.0,258200.0,False,0.0,14:29:44
11700.0,100,500.0,0.0,SD,200300.0,257900.0,False,-50.0,14:29:44
11750.0,100,550.0,0.0,BU,200300.0,257800.0,False,-50.0,14:29:44
11800.0,100,600.0,0.1,BU,200200.0,257800.0,False,50.0,14:29:38
11750.0,3000,550.0,0.0,SD,200100.0,257800.0,False,0.0,14:29:34
11750.0,300,550.0,0.0,SD,200100.0,254800.0,False,0.0,14:29:34
11750.0,500,550.0,0.0,SD,200100.0,254500.0,False,0.0,14:29:33
11750.0,100,550.0,0.0,SD,200100.0,254000.0,False,0.0,14:29:33
11750.0,100,550.0,0.0,SD,200100.0,253900.0,False,0.0,14:29:33
11750.0,300,550.0,0.0,SD,200100.0,253800.0,False,0.0,14:29:33
11750.0,600,550.0,0.0,SD,200100.0,253500.0,False,0.0,14:29:33
11750.0,400,550.0,0.0,BU,200100.0,252900.0,False,0.0,14:29:20
11750.0,100,550.0,0.0,BU,199700.0,252900.0,False,0.0,14:29:20
11750.0,2500,550.0,0.0,BU,199600.0,252900.0,False,50.0,14:29:20
11700.0,100,500.0,0.0,SD,197100.0,252900.0,False,-50.0,14:29:02
11750.0,1500,550.0,0.0,BU,197100.0,252800.0,False,0.0,14:28:57
11750.0,500,550.0,0.0,BU,195600.0,252800.0,False,0.0,14:28:57
11750.0,200,550.0,0.0,BU,195100.0,252800.0,False,50.0,14:28:47
11700.0,100,500.0,0.0,SD,194900.0,252800.0,False,0.0,14:28:24
11700.0,100,500.0,0.0,SD,194900.0,252700.0,False,0.0,14:27:55
11700.0,1000,500.0,0.0,SD,194900.0,252600.0,False,-50.0,14:27:29
11750.0,500,550.0,0.0,BU,194900.0,251600.0,False,50.0,14:27:07
11700.0,200,500.0,0.0,SD,194400.0,251600.0,False,0.0,14:27:04
11700.0,100,500.0,0.0,BU,194400.0,251400.0,False,0.0,14:25:57
11700.0,1000,500.0,0.0,BU,194300.0,251400.0,False,0.0,14:25:57
11700.0,200,500.0,0.0,BU,193300.0,251400.0,False,0.0,14:25:57
11700.0,300,500.0,0.0,BU,193100.0,251400.0,False,0.0,14:25:57
11700.0,1800,500.0,0.0,BU,192800.0,251400.0,False,50.0,14:25:57
11650.0,500,450.0,0.0,SD,191000.0,251400.0,False,0.0,14:25:31
11650.0,900,450.0,0.0,SD,191000.0,250900.0,False,0.0,14:25:12
11650.0,200,450.0,0.0,SD,191000.0,250000.0,False,-50.0,14:25:12
11700.0,200,500.0,0.0,BU,191000.0,249800.0,False,0.0,14:25:10
11700.0,100,500.0,0.0,BU,190800.0,249800.0,False,0.0,14:25:10
11700.0,200,500.0,0.0,BU,190700.0,249800.0,False,50.0,14:25:10
11650.0,500,450.0,0.0,SD,190500.0,249800.0,False,0.0,14:25:04
11650.0,300,450.0,0.0,SD,190500.0,249300.0,False,-50.0,14:24:31
11700.0,4800,500.0,0.0,BU,190500.0,249000.0,False,0.0,14:24:07
11700.0,100,500.0,0.0,SD,185700.0,249000.0,False,0.0,14:24:05
11700.0,100,500.0,0.0,BU,185700.0,248900.0,False,100.0,14:23:50
11600.0,900,400.0,0.0,SD,185600.0,248900.0,False,0.0,14:23:35
11600.0,5100,400.0,0.0,SD,185600.0,248000.0,False,0.0,14:23:35
11600.0,2100,400.0,0.0,SD,185600.0,242900.0,False,-50.0,14:23:35
11650.0,1900,450.0,0.0,SD,185600.0,240800.0,False,0.0,14:23:35
11650.0,1900,450.0,0.0,SD,185600.0,238900.0,False,0.0,14:23:26
11650.0,1000,450.0,0.0,SD,185600.0,237000.0,False,0.0,14:23:18
11650.0,100,450.0,0.0,SD,185600.0,236000.0,False,-50.0,14:23:13
11700.0,300,500.0,0.0,SD,185600.0,235900.0,False,0.0,14:22:46
11700.0,600,500.0,0.0,SD,185600.0,235600.0,False,0.0,14:22:46
11700.0,100,500.0,0.0,SD,185600.0,235000.0,False,0.0,14:22:35
11700.0,300,500.0,0.0,SD,185600.0,234900.0,False,0.0,14:22:28
11700.0,200,500.0,0.0,SD,185600.0,234600.0,False,-50.0,14:22:28
11750.0,800,550.0,0.0,BU,185600.0,234400.0,False,0.0,14:19:29
11750.0,500,550.0,0.0,BU,184800.0,234400.0,False,0.0,14:19:29
11750.0,500,550.0,0.0,BU,184300.0,234400.0,False,0.0,14:19:29
11750.0,100,550.0,0.0,BU,183800.0,234400.0,False,0.0,14:19:29
11750.0,100,550.0,0.0,BU,183700.0,234400.0,False,0.0,14:19:29
11750.0,1900,550.0,0.0,BU,183600.0,234400.0,False,0.0,14:18:59
11750.0,8000,550.0,0.0,BU,181700.0,234400.0,False,0.0,14:18:59
11750.0,100,550.0,0.0,BU,173700.0,234400.0,False,0.0,14:18:59
11750.0,200,550.0,0.0,BU,173600.0,234400.0,False,0.0,14:18:11
11750.0,200,550.0,0.0,BU,173400.0,234400.0,False,50.0,14:18:11
11700.0,1000,500.0,0.0,SD,173200.0,234400.0,False,0.0,14:17:46
11700.0,1000,500.0,0.0,SD,173200.0,233400.0,False,-50.0,14:17:39
11750.0,500,550.0,0.0,BU,173200.0,232400.0,False,50.0,14:17:30
11700.0,100,500.0,0.0,SD,172700.0,232400.0,False,0.0,14:17:28
11700.0,100,500.0,0.0,SD,172700.0,232300.0,False,0.0,14:17:25
11700.0,9500,500.0,0.0,SD,172700.0,232200.0,False,0.0,14:17:08
11700.0,1000,500.0,0.0,SD,172700.0,222700.0,False,0.0,14:17:08
11700.0,2100,500.0,0.0,SD,172700.0,221700.0,False,0.0,14:17:08
11700.0,500,500.0,0.0,BU,172700.0,219600.0,False,0.0,14:17:02
11700.0,300,500.0,0.0,BU,172200.0,219600.0,False,50.0,14:16:25
11650.0,100,450.0,0.0,BU,171900.0,219600.0,False,0.0,14:16:09
11650.0,100,450.0,0.0,BU,171800.0,219600.0,False,0.0,14:16:09
11650.0,500,450.0,0.0,BU,171700.0,219600.0,False,50.0,14:15:42
11600.0,100,400.0,0.0,SD,171200.0,219600.0,False,0.0,14:15:21
11600.0,100,400.0,0.0,BU,171200.0,219500.0,False,0.0,14:15:05
11600.0,100,400.0,0.0,BU,171100.0,219500.0,False,0.0,14:15:05
11600.0,400,400.0,0.0,BU,171000.0,219500.0,False,0.0,14:15:05
11600.0,200,400.0,0.0,BU,170600.0,219500.0,False,0.0,14:15:05
11600.0,2000,400.0,0.0,BU,170400.0,219500.0,False,0.0,14:15:05
11600.0,3000,400.0,0.0,BU,168400.0,219500.0,False,0.0,14:14:48
11600.0,2000,400.0,0.0,BU,165400.0,219500.0,False,0.0,14:14:48
11600.0,1000,400.0,0.0,BU,163400.0,219500.0,False,0.0,14:13:39
11600.0,2000,400.0,0.0,BU,162400.0,219500.0,False,0.0,14:13:30
11600.0,5000,400.0,0.0,BU,160400.0,219500.0,False,0.0,14:13:06
11600.0,500,400.0,0.0,BU,155400.0,219500.0,False,50.0,14:12:52
11550.0,3500,350.0,0.0,SD,154900.0,219500.0,False,-50.0,14:11:42
11600.0,200,400.0,0.0,BU,154900.0,216000.0,False,50.0,14:11:35
11550.0,500,350.0,0.0,SD,154700.0,216000.0,False,0.0,14:11:26
11550.0,500,350.0,0.0,SD,154700.0,215500.0,False,0.0,14:11:26
11550.0,500,350.0,0.0,BU,154700.0,215000.0,False,0.0,14:11:10
