p,v,cp,rcp,a,ba,sa,hl,pcp,t
32900.0,200,0.0,0.0,,7300.0,5900.0,False,200.0,14:45:01
32700.0,100,-200.0,0.0,BU,7300.0,5900.0,False,0.0,14:24:15
32700.0,400,-200.0,0.0,SD,7200.0,5900.0,False,-200.0,14:22:26
32900.0,1000,0.0,0.0,BU,7200.0,5500.0,False,0.0,13:16:49
32900.0,300,0.0,0.0,BU,6200.0,5500.0,False,0.0,13:16:49
32900.0,1600,0.0,0.0,BU,5900.0,5500.0,False,-100.0,13:16:49
33000.0,500,100.0,0.0,SD,4300.0,5500.0,False,50.0,13:16:31
32950.0,500,50.0,0.0,SD,4300.0,5000.0,False,-50.0,13:11:49
33000.0,500,100.0,0.0,BU,4300.0,4500.0,False,0.0,13:11:47
33000.0,100,100.0,0.0,SD,3800.0,4500.0,False,0.0,13:10:41
33000.0,200,100.0,0.0,SD,3800.0,4400.0,False,0.0,13:02:52
33000.0,200,100.0,0.0,SD,3800.0,4200.0,False,0.0,13:02:52
33000.0,200,100.0,0.0,SD,3800.0,4000.0,False,0.0,13:00:02
33000.0,700,100.0,0.0,SD,3800.0,3800.0,False,0.0,11:14:03
33000.0,700,100.0,0.0,SD,3800.0,3100.0,False,0.0,11:11:42
33000.0,200,100.0,0.0,SD,3800.0,2400.0,False,50.0,11:09:20
32950.0,100,50.0,0.0,SD,3800.0,2200.0,False,0.0,11:07:41
32950.0,100,50.0,0.0,SD,3800.0,2100.0,False,0.0,11:07:41
32950.0,300,50.0,0.0,BU,3800.0,2000.0,False,-650.0,10:42:03
33600.0,1000,700.0,0.0,BU,3500.0,2000.0,False,400.0,10:09:36
33200.0,300,300.0,0.0,BU,2500.0,2000.0,False,0.0,10:00:48
33200.0,1500,300.0,0.0,BU,2200.0,2000.0,False,0.0,09:58:34
33200.0,700,300.0,0.0,BU,700.0,2000.0,False,0.0,09:57:31
33200.0,1500,300.0,0.0,SD,0.0,2000.0,False,300.0,09:54:30
32900.0,400,0.0,0.0,SD,0.0,500.0,False,0.0,09:41:49
32900.0,100,0.0,0.0,SD,0.0,100.0,False,0.0,09:41:49
