p,v,cp,rcp,a,ba,sa,hl,pcp,t
15700.0,28100,-200.0,0.0,,252400.0,402100.0,False,0.0,14:45:01
15700.0,2000,-200.0,0.0,SD,252400.0,402100.0,False,0.0,14:29:18
15700.0,500,-200.0,0.0,SD,252400.0,400100.0,False,0.0,14:29:00
15700.0,400,-200.0,0.0,BU,252400.0,399600.0,False,0.0,14:28:41
15700.0,300,-200.0,0.0,BU,252000.0,399600.0,False,0.0,14:28:32
15700.0,500,-200.0,0.0,BU,251700.0,399600.0,False,0.0,14:28:30
15700.0,100,-200.0,0.0,BU,251200.0,399600.0,False,100.0,14:27:58
15600.0,200,-300.0,0.0,SD,251100.0,399600.0,False,0.0,14:27:28
15600.0,100,-300.0,0.0,SD,251100.0,399400.0,False,0.0,14:27:26
15600.0,100,-300.0,0.0,SD,251100.0,399300.0,False,100.0,14:27:08
15500.0,2000,-400.0,0.0,SD,251100.0,399200.0,False,-100.0,14:26:17
15600.0,5000,-300.0,0.0,SD,251100.0,397200.0,False,-100.0,14:25:41
15700.0,700,-200.0,0.0,BU,251100.0,392200.0,False,100.0,14:25:31
15600.0,5400,-300.0,0.0,SD,250400.0,392200.0,False,0.0,14:24:41
15600.0,100,-300.0,0.0,SD,250400.0,386800.0,False,-100.0,14:24:16
15700.0,200,-200.0,0.0,BU,250400.0,386700.0,False,0.0,14:24:06
15700.0,200,-200.0,0.0,SD,250200.0,386700.0,False,0.0,14:24:00
15700.0,2000,-200.0,0.0,SD,250200.0,386500.0,False,0.0,14:23:58
15700.0,100,-200.0,0.0,SD,250200.0,384500.0,False,-100.0,14:23:46
15800.0,100,-100.0,0.0,BU,250200.0,384400.0,False,0.0,14:23:24
15800.0,100,-100.0,0.0,BU,250100.0,384400.0,False,0.0,14:22:45
15800.0,200,-100.0,0.0,BU,250000.0,384400.0,False,0.0,14:22:39
15800.0,1000,-100.0,0.0,SD,249800.0,384400.0,False,0.0,14:22:34
15800.0,100,-100.0,0.0,SD,249800.0,383400.0,False,0.0,14:22:32
15800.0,10000,-100.0,0.0,SD,249800.0,383300.0,False,0.0,14:22:27
15800.0,1000,-100.0,0.0,SD,249800.0,373300.0,False,0.0,14:22:24
15800.0,300,-100.0,0.0,SD,249800.0,372300.0,False,0.0,14:22:09
15800.0,500,-100.0,0.0,SD,249800.0,372000.0,False,-100.0,14:22:00
15900.0,100,0.0,0.0,SD,249800.0,371500.0,False,0.0,14:20:58
15900.0,200,0.0,0.0,SD,249800.0,371400.0,False,0.0,14:20:57
15900.0,3000,0.0,0.0,SD,249800.0,371200.0,False,0.0,14:20:48
15900.0,300,0.0,0.0,SD,249800.0,368200.0,False,0.0,14:20:45
15900.0,12400,0.0,0.0,BU,249800.0,367900.0,False,100.0,14:20:26
15800.0,100,-100.0,0.0,SD,237400.0,367900.0,False,0.0,14:20:16
15800.0,200,-100.0,0.0,BU,237400.0,367800.0,False,0.0,14:19:17
15800.0,100,-100.0,0.0,BU,237200.0,367800.0,False,0.0,14:18:55
15800.0,800,-100.0,0.0,SD,237100.0,367800.0,False,0.0,14:18:47
15800.0,200,-100.0,0.0,SD,237100.0,367000.0,False,0.0,14:18:11
15800.0,1300,-100.0,0.0,BU,237100.0,366800.0,False,0.0,14:18:09
15800.0,1500,-100.0,0.0,BU,235800.0,366800.0,False,0.0,14:18:08
15800.0,10000,-100.0,0.0,BU,234300.0,366800.0,False,0.0,14:17:59
15800.0,200,-100.0,0.0,BU,224300.0,366800.0,False,100.0,14:17:54
15700.0,3700,-200.0,0.0,BU,224100.0,366800.0,False,100.0,14:15:31
15600.0,500,-300.0,0.0,SD,220400.0,366800.0,False,0.0,14:13:58
15600.0,2300,-300.0,0.0,BU,220400.0,366300.0,False,0.0,14:13:49
15600.0,100,-300.0,0.0,BU,218100.0,366300.0,False,0.0,14:13:46
15600.0,1000,-300.0,0.0,BU,218000.0,366300.0,False,0.0,14:13:19
15600.0,500,-300.0,0.0,BU,217000.0,366300.0,False,0.0,14:12:50
15600.0,100,-300.0,0.0,SD,216500.0,366300.0,False,0.0,14:12:43
15600.0,900,-300.0,0.0,SD,216500.0,366200.0,False,0.0,14:11:24
15600.0,1100,-300.0,0.0,BU,216500.0,365300.0,False,0.0,14:11:03
15600.0,900,-300.0,0.0,SD,215400.0,365300.0,False,100.0,14:10:42
15500.0,200,-400.0,0.0,SD,215400.0,364400.0,False,0.0,14:10:38
15500.0,500,-400.0,0.0,SD,215400.0,364200.0,False,0.0,14:10:21
15500.0,100,-400.0,0.0,SD,215400.0,363700.0,False,-100.0,14:10:12
15600.0,1800,-300.0,0.0,BU,215400.0,363600.0,False,0.0,14:09:03
15600.0,500,-300.0,0.0,SD,213600.0,363600.0,False,0.0,14:09:02
15600.0,500,-300.0,0.0,SD,213600.0,363100.0,False,0.0,14:08:45
15600.0,100,-300.0,0.0,SD,213600.0,362600.0,False,0.0,14:08:42
15600.0,200,-300.0,0.0,SD,213600.0,362500.0,False,0.0,14:08:33
15600.0,1000,-300.0,0.0,SD,213600.0,362300.0,False,0.0,14:05:11
15600.0,2000,-300.0,0.0,SD,213600.0,361300.0,False,-100.0,14:04:18
15700.0,200,-200.0,0.0,BU,213600.0,359300.0,False,0.0,14:01:13
15700.0,200,-200.0,0.0,BU,213400.0,359300.0,False,0.0,14:00:56
15700.0,2900,-200.0,0.0,BU,213200.0,359300.0,False,0.0,14:00:40
15700.0,10800,-200.0,0.0,SD,210300.0,359300.0,False,0.0,14:00:34
15700.0,3000,-200.0,0.0,SD,210300.0,348500.0,False,-100.0,14:00:00
15800.0,100,-100.0,0.0,BU,210300.0,345500.0,False,0.0,13:59:47
15800.0,3000,-100.0,0.0,BU,210200.0,345500.0,False,0.0,13:58:19
15800.0,400,-100.0,0.0,BU,207200.0,345500.0,False,100.0,13:58:07
15700.0,500,-200.0,0.0,SD,206800.0,345500.0,False,0.0,13:57:36
15700.0,900,-200.0,0.0,SD,206800.0,345000.0,False,0.0,13:56:17
15700.0,1000,-200.0,0.0,BU,206800.0,344100.0,False,0.0,13:55:55
15700.0,3000,-200.0,0.0,BU,205800.0,344100.0,False,0.0,13:55:54
15700.0,200,-200.0,0.0,BU,202800.0,344100.0,False,0.0,13:55:45
15700.0,100,-200.0,0.0,BU,202600.0,344100.0,False,0.0,13:55:33
15700.0,100,-200.0,0.0,BU,202500.0,344100.0,False,0.0,13:55:20
15700.0,300,-200.0,0.0,BU,202400.0,344100.0,False,100.0,13:54:51
15600.0,1000,-300.0,0.0,SD,202100.0,344100.0,False,0.0,13:54:41
15600.0,2800,-300.0,0.0,SD,202100.0,343100.0,False,0.0,13:54:26
15600.0,100,-300.0,0.0,BU,202100.0,340300.0,False,0.0,13:54:25
15600.0,600,-300.0,0.0,BU,202000.0,340300.0,False,0.0,13:54:18
15600.0,100,-300.0,0.0,BU,201400.0,340300.0,False,0.0,13:54:07
15600.0,400,-300.0,0.0,BU,201300.0,340300.0,False,100.0,13:53:59
15500.0,1700,-400.0,0.0,SD,200900.0,340300.0,False,0.0,13:51:59
15500.0,300,-400.0,0.0,SD,200900.0,338600.0,False,0.0,13:51:21
15500.0,100,-400.0,0.0,SD,200900.0,338300.0,False,-100.0,13:49:34
15600.0,100,-300.0,0.0,BU,200900.0,338200.0,False,0.0,13:49:14
15600.0,1000,-300.0,0.0,BU,200800.0,338200.0,False,0.0,13:47:13
15600.0,3100,-300.0,0.0,BU,199800.0,338200.0,False,0.0,13:46:47
15600.0,100,-300.0,0.0,SD,196700.0,338200.0,False,0.0,13:46:26
15600.0,3500,-300.0,0.0,SD,196700.0,338100.0,False,-100.0,13:46:21
15700.0,200,-200.0,0.0,BU,196700.0,334600.0,False,100.0,13:46:04
15600.0,1000,-300.0,0.0,SD,196500.0,334600.0,False,0.0,13:45:21
15600.0,1000,-300.0,0.0,SD,196500.0,333600.0,False,0.0,13:45:08
15600.0,3000,-300.0,0.0,SD,196500.0,332600.0,False,0.0,13:44:44
15600.0,1000,-300.0,0.0,SD,196500.0,329600.0,False,-100.0,13:44:24
15700.0,2000,-200.0,0.0,BU,196500.0,328600.0,False,0.0,13:43:45
15700.0,500,-200.0,0.0,BU,194500.0,328600.0,False,100.0,13:42:36
15600.0,7300,-300.0,0.0,SD,194000.0,328600.0,False,100.0,13:42:06
15500.0,500,-400.0,0.0,SD,194000.0,321300.0,False,0.0,13:41:32
15500.0,4000,-400.0,0.0,SD,194000.0,320800.0,False,0.0,13:40:31
15500.0,100,-400.0,0.0,BU,194000.0,316800.0,False,0.0,13:40:30
15500.0,2000,-400.0,0.0,BU,193900.0,316800.0,False,0.0,13:40:27
15500.0,100,-400.0,0.0,BU,191900.0,316800.0,False,0.0,13:40:24
15500.0,300,-400.0,0.0,BU,191800.0,316800.0,False,0.0,13:40:21
15500.0,1400,-400.0,0.0,BU,191500.0,316800.0,False,0.0,13:40:14
15500.0,5000,-400.0,0.0,BU,190100.0,316800.0,False,0.0,13:40:12
15500.0,100,-400.0,0.0,BU,185100.0,316800.0,False,0.0,13:40:10
15500.0,1200,-400.0,0.0,BU,185000.0,316800.0,False,0.0,13:40:08
15500.0,1000,-400.0,0.0,BU,183800.0,316800.0,False,0.0,13:40:00
15500.0,500,-400.0,0.0,BU,182800.0,316800.0,False,0.0,13:39:58
15500.0,100,-400.0,0.0,BU,182300.0,316800.0,False,0.0,13:39:51
15500.0,5000,-400.0,0.0,BU,182200.0,316800.0,False,0.0,13:39:50
15500.0,2900,-400.0,0.0,BU,177200.0,316800.0,False,0.0,13:39:37
15500.0,100,-400.0,0.0,BU,174300.0,316800.0,False,0.0,13:39:34
15500.0,200,-400.0,0.0,BU,174200.0,316800.0,False,0.0,13:39:19
