p,v,cp,rcp,a,ba,sa,hl,pcp,t
39800.0,8100,650.0,0.0,,58600.0,18100.0,False,0.0,14:45:01
39800.0,500,650.0,0.0,BU,58600.0,18100.0,False,0.0,14:29:21
39800.0,100,650.0,0.0,BU,58100.0,18100.0,False,50.0,14:29:21
39750.0,100,600.0,0.0,SD,58000.0,18100.0,False,0.0,14:29:05
39750.0,4000,600.0,0.0,BU,58000.0,18000.0,False,0.0,14:26:42
39750.0,500,600.0,0.0,BU,54000.0,18000.0,False,0.0,14:26:35
39750.0,2000,600.0,0.0,BU,53500.0,18000.0,False,0.0,14:26:35
39750.0,100,600.0,0.0,BU,51500.0,18000.0,False,0.0,14:26:35
39750.0,100,600.0,0.0,BU,51400.0,18000.0,False,0.0,14:26:35
39750.0,2300,600.0,0.0,BU,51300.0,18000.0,False,50.0,14:26:35
39700.0,100,550.0,0.0,SD,49000.0,18000.0,False,0.0,14:23:48
39700.0,200,550.0,0.0,SD,49000.0,17900.0,False,0.0,14:17:10
39700.0,100,550.0,0.0,SD,49000.0,17700.0,False,0.0,14:10:30
39700.0,200,550.0,0.0,SD,49000.0,17600.0,False,0.0,14:10:12
39700.0,100,550.0,0.0,SD,49000.0,17400.0,False,-50.0,14:07:57
39750.0,2700,600.0,0.0,BU,49000.0,17300.0,False,0.0,14:07:00
39750.0,300,600.0,0.0,BU,46300.0,17300.0,False,0.0,14:07:00
39750.0,100,600.0,0.0,BU,46000.0,17300.0,False,0.0,14:01:59
39750.0,100,600.0,0.0,BU,45900.0,17300.0,False,50.0,14:01:59
39700.0,500,550.0,0.0,SD,45800.0,17300.0,False,0.0,14:01:10
39700.0,100,550.0,0.0,SD,45800.0,16800.0,False,0.0,14:01:00
39700.0,100,550.0,0.0,BU,45800.0,16700.0,False,0.0,13:58:29
39700.0,100,550.0,0.0,BU,45700.0,16700.0,False,0.0,13:58:29
39700.0,100,550.0,0.0,BU,45600.0,16700.0,False,0.0,13:58:29
39700.0,100,550.0,0.0,BU,45500.0,16700.0,False,0.0,13:58:29
39700.0,2700,550.0,0.0,BU,45400.0,16700.0,False,50.0,13:58:29
39650.0,1000,500.0,0.0,SD,42700.0,16700.0,False,0.0,13:55:12
39650.0,100,500.0,0.0,SD,42700.0,15700.0,False,-50.0,13:53:21
39700.0,300,550.0,0.0,BU,42700.0,15600.0,False,0.0,13:35:11
39700.0,800,550.0,0.0,BU,42400.0,15600.0,False,50.0,13:34:10
39650.0,1200,500.0,0.0,BU,41600.0,15600.0,False,0.0,13:32:40
39650.0,10000,500.0,0.0,BU,40400.0,15600.0,True,50.0,13:31:10
39600.0,100,450.0,0.0,SD,30400.0,15600.0,False,-50.0,13:29:50
39650.0,2000,500.0,0.0,BU,30400.0,15500.0,False,50.0,13:28:48
39600.0,400,450.0,0.0,SD,28400.0,15500.0,False,0.0,13:23:14
39600.0,100,450.0,0.0,SD,28400.0,15100.0,False,-50.0,13:23:14
39650.0,600,500.0,0.0,BU,28400.0,15000.0,False,50.0,13:22:31
39600.0,400,450.0,0.0,SD,27800.0,15000.0,False,0.0,13:20:23
39600.0,100,450.0,0.0,SD,27800.0,14600.0,False,0.0,13:20:23
39600.0,500,450.0,0.0,SD,27800.0,14500.0,False,-50.0,13:18:54
39650.0,5000,500.0,0.0,BU,27800.0,14000.0,False,0.0,13:15:07
39650.0,1200,500.0,0.0,BU,22800.0,14000.0,False,0.0,13:15:07
39650.0,200,500.0,0.0,SD,21600.0,14000.0,False,0.0,13:14:11
39650.0,200,500.0,0.0,SD,21600.0,13800.0,False,0.0,13:10:09
39650.0,200,500.0,0.0,SD,21600.0,13600.0,False,0.0,13:09:59
39650.0,300,500.0,0.0,SD,21600.0,13400.0,False,0.0,13:08:49
39650.0,100,500.0,0.0,SD,21600.0,13100.0,False,0.0,13:08:17
39650.0,100,500.0,0.0,SD,21600.0,13000.0,False,-50.0,13:05:59
39700.0,900,550.0,0.0,BU,21600.0,12900.0,False,50.0,13:02:10
39650.0,2700,500.0,0.0,SD,20700.0,12900.0,False,0.0,13:00:05
39650.0,5000,500.0,0.0,SD,20700.0,10200.0,False,0.0,13:00:05
39650.0,300,500.0,0.0,SD,20700.0,5200.0,False,0.0,13:00:05
39650.0,100,500.0,0.0,SD,20700.0,4900.0,False,-50.0,13:00:02
39700.0,200,550.0,0.0,BU,20700.0,4800.0,False,50.0,13:00:01
39650.0,1000,500.0,0.0,SD,20500.0,4800.0,False,-50.0,13:00:01
39700.0,100,550.0,0.0,BU,20500.0,3800.0,False,50.0,11:11:20
39650.0,100,500.0,0.0,SD,20400.0,3800.0,False,-50.0,11:02:16
39700.0,5000,550.0,0.0,BU,20400.0,3700.0,False,-50.0,10:55:08
39750.0,900,600.0,0.0,BU,15400.0,3700.0,False,0.0,10:52:18
39750.0,100,600.0,0.0,BU,14500.0,3700.0,False,0.0,10:52:18
39750.0,100,600.0,0.0,BU,14400.0,3700.0,False,-150.0,10:42:27
39900.0,500,750.0,0.0,BU,14300.0,3700.0,False,0.0,10:19:23
39900.0,500,750.0,0.0,BU,13800.0,3700.0,False,100.0,10:19:23
39800.0,500,650.0,0.0,BU,13300.0,3700.0,False,-150.0,10:19:23
39950.0,100,800.0,0.0,BU,12800.0,3700.0,False,0.0,10:11:39
39950.0,100,800.0,0.0,BU,12700.0,3700.0,False,0.0,10:11:39
39950.0,200,800.0,0.0,BU,12600.0,3700.0,False,50.0,10:11:39
39900.0,100,750.0,0.0,BU,12400.0,3700.0,False,400.0,10:11:39
39500.0,100,350.0,0.0,SD,12300.0,3700.0,False,50.0,10:10:02
39450.0,100,300.0,0.0,BU,12300.0,3600.0,False,0.0,10:07:43
39450.0,400,300.0,0.0,BU,12200.0,3600.0,False,0.0,10:07:43
39450.0,100,300.0,0.0,BU,11800.0,3600.0,False,0.0,10:07:31
39450.0,100,300.0,0.0,BU,11700.0,3600.0,False,0.0,10:07:31
39450.0,3000,300.0,0.0,BU,11600.0,3600.0,False,0.0,10:07:31
39450.0,100,300.0,0.0,BU,8600.0,3600.0,False,0.0,10:07:31
39450.0,100,300.0,0.0,BU,8500.0,3600.0,False,0.0,10:07:31
39450.0,200,300.0,0.0,BU,8400.0,3600.0,False,0.0,10:07:31
39450.0,200,300.0,0.0,BU,8200.0,3600.0,False,50.0,10:07:31
39400.0,400,250.0,0.0,BU,8000.0,3600.0,False,0.0,10:07:27
39400.0,100,250.0,0.0,BU,7600.0,3600.0,False,0.0,10:07:17
39400.0,900,250.0,0.0,BU,7500.0,3600.0,False,0.0,10:07:17
39400.0,1100,250.0,0.0,BU,6600.0,3600.0,False,0.0,10:06:10
39400.0,100,250.0,0.0,BU,5500.0,3600.0,False,0.0,10:06:10
39400.0,100,250.0,0.0,BU,5400.0,3600.0,False,50.0,10:06:10
39350.0,100,200.0,0.0,BU,5300.0,3600.0,False,0.0,10:05:50
39350.0,100,200.0,0.0,BU,5200.0,3600.0,False,0.0,10:05:32
39350.0,1000,200.0,0.0,BU,5100.0,3600.0,False,0.0,10:05:32
39350.0,300,200.0,0.0,BU,4100.0,3600.0,False,0.0,10:05:32
39350.0,1400,200.0,0.0,BU,3800.0,3600.0,False,50.0,10:05:32
39300.0,1600,150.0,0.0,SD,2400.0,3600.0,False,-50.0,09:58:05
39350.0,500,200.0,0.0,BU,2400.0,2000.0,False,0.0,09:57:56
39350.0,100,200.0,0.0,BU,1900.0,2000.0,False,0.0,09:54:27
39350.0,100,200.0,0.0,BU,1800.0,2000.0,False,0.0,09:54:27
39350.0,100,200.0,0.0,BU,1700.0,2000.0,False,50.0,09:54:27
39300.0,200,150.0,0.0,BU,1600.0,2000.0,False,0.0,09:54:27
39300.0,100,150.0,0.0,BU,1400.0,2000.0,False,-50.0,09:54:16
39350.0,100,200.0,0.0,BU,1300.0,2000.0,False,50.0,09:54:10
39300.0,100,150.0,0.0,BU,1200.0,2000.0,False,0.0,09:51:17
39300.0,100,150.0,0.0,BU,1100.0,2000.0,False,0.0,09:49:30
39300.0,500,150.0,0.0,SD,1000.0,2000.0,False,0.0,09:48:08
39300.0,300,150.0,0.0,SD,1000.0,1500.0,False,0.0,09:46:59
39300.0,700,150.0,0.0,BU,1000.0,1200.0,False,0.0,09:44:38
39300.0,300,150.0,0.0,BU,300.0,1200.0,False,0.0,09:42:41
39300.0,100,150.0,0.0,SD,0.0,1200.0,False,0.0,09:42:14
39300.0,200,150.0,0.0,SD,0.0,1100.0,False,0.0,09:41:09
39300.0,100,150.0,0.0,SD,0.0,900.0,False,0.0,09:40:25
39300.0,200,150.0,0.0,SD,0.0,800.0,False,0.0,09:39:27
39300.0,100,150.0,0.0,SD,0.0,600.0,False,0.0,09:39:26
39300.0,100,150.0,0.0,SD,0.0,500.0,False,100.0,09:39:26
39200.0,400,50.0,0.0,SD,0.0,400.0,False,50.0,09:30:22
39150.0,100,0.0,0.0,,0.0,0.0,False,0.0,09:15:18
