p,v,cp,rcp,a,ba,sa,hl,pcp,t
5120.0,6000,-10.0,0.0,,104100.0,104400.0,False,0.0,14:45:01
5120.0,300,-10.0,0.0,SD,104100.0,104400.0,False,0.0,14:18:25
5120.0,100,-10.0,0.0,BU,104100.0,104100.0,False,0.0,14:18:20
5120.0,500,-10.0,0.0,BU,104000.0,104100.0,False,0.0,14:18:03
5120.0,100,-10.0,0.0,BU,103500.0,104100.0,False,-20.0,14:17:49
5140.0,600,10.0,0.0,BU,103400.0,104100.0,False,0.0,14:17:01
5140.0,500,10.0,0.0,BU,102800.0,104100.0,False,0.0,14:16:55
5140.0,1000,10.0,0.0,BU,102300.0,104100.0,False,0.0,14:16:24
5140.0,1000,10.0,0.0,BU,101300.0,104100.0,False,0.0,14:15:39
5140.0,500,10.0,0.0,BU,100300.0,104100.0,False,0.0,14:14:50
5140.0,300,10.0,0.0,BU,99800.0,104100.0,False,0.0,14:14:50
5140.0,200,10.0,0.0,BU,99500.0,104100.0,False,0.0,14:14:50
5140.0,100,10.0,0.0,BU,99300.0,104100.0,False,0.0,14:12:57
5140.0,300,10.0,0.0,BU,99200.0,104100.0,False,0.0,14:10:19
5140.0,200,10.0,0.0,BU,98900.0,104100.0,False,0.0,14:10:19
5140.0,400,10.0,0.0,BU,98700.0,104100.0,False,0.0,14:10:00
5140.0,100,10.0,0.0,BU,98300.0,104100.0,False,0.0,14:09:44
5140.0,400,10.0,0.0,SD,98200.0,104100.0,False,0.0,14:05:02
5140.0,100,10.0,0.0,SD,98200.0,103700.0,False,0.0,14:05:02
5140.0,300,10.0,0.0,SD,98200.0,103600.0,False,0.0,14:03:23
5140.0,100,10.0,0.0,SD,98200.0,103300.0,False,0.0,14:01:25
5140.0,3300,10.0,0.0,BU,98200.0,103200.0,False,0.0,14:00:36
5140.0,200,10.0,0.0,BU,94900.0,103200.0,False,0.0,13:59:06
5140.0,300,10.0,0.0,BU,94700.0,103200.0,False,0.0,13:59:06
5140.0,1000,10.0,0.0,BU,94400.0,103200.0,False,10.0,13:59:06
5130.0,15200,0.0,0.0,BU,93400.0,103200.0,False,0.0,13:58:21
5130.0,500,0.0,0.0,BU,78200.0,103200.0,False,10.0,13:57:55
5120.0,100,-10.0,0.0,BU,77700.0,103200.0,False,0.0,13:57:20
5120.0,200,-10.0,0.0,BU,77600.0,103200.0,False,10.0,13:56:40
5110.0,2900,-20.0,0.0,BU,77400.0,103200.0,False,0.0,13:40:05
5110.0,100,-20.0,0.0,BU,74500.0,103200.0,False,0.0,13:32:19
5110.0,5000,-20.0,0.0,BU,74400.0,103200.0,False,0.0,13:31:57
5110.0,2000,-20.0,0.0,BU,69400.0,103200.0,False,-10.0,13:31:57
5120.0,200,-10.0,0.0,BU,67400.0,103200.0,False,20.0,13:26:14
5100.0,5000,-30.0,0.0,BU,67200.0,103200.0,False,0.0,13:23:22
5100.0,800,-30.0,0.0,BU,62200.0,103200.0,False,30.0,13:23:22
5070.0,100,-60.0,0.0,SD,61400.0,103200.0,False,20.0,13:17:40
5050.0,2300,-80.0,0.0,SD,61400.0,103100.0,False,-10.0,13:17:40
5060.0,100,-70.0,0.0,SD,61400.0,100800.0,False,0.0,13:17:40
5060.0,100,-70.0,0.0,SD,61400.0,100700.0,False,-10.0,13:17:40
5070.0,100,-60.0,0.0,SD,61400.0,100600.0,False,-10.0,13:17:40
5080.0,100,-50.0,0.0,SD,61400.0,100500.0,False,0.0,13:17:40
5080.0,100,-50.0,0.0,SD,61400.0,100400.0,False,-10.0,13:17:40
5090.0,2800,-40.0,0.0,BU,61400.0,100300.0,False,0.0,13:17:30
5090.0,2000,-40.0,0.0,SD,58600.0,100300.0,False,0.0,13:17:13
5090.0,200,-40.0,0.0,SD,58600.0,98300.0,False,-10.0,13:16:58
5100.0,100,-30.0,0.0,BU,58600.0,98100.0,False,0.0,13:16:57
5100.0,100,-30.0,0.0,BU,58500.0,98100.0,False,0.0,13:16:50
5100.0,100,-30.0,0.0,BU,58400.0,98100.0,False,10.0,13:14:22
5090.0,100,-40.0,0.0,SD,58300.0,98100.0,False,-10.0,13:13:50
5100.0,200,-30.0,0.0,SD,58300.0,98000.0,False,0.0,13:13:48
5100.0,100,-30.0,0.0,SD,58300.0,97800.0,False,0.0,13:13:48
5100.0,700,-30.0,0.0,SD,58300.0,97700.0,False,0.0,13:13:48
5100.0,500,-30.0,0.0,SD,58300.0,97000.0,False,0.0,13:12:35
5100.0,1200,-30.0,0.0,SD,58300.0,96500.0,False,0.0,13:12:04
5100.0,2200,-30.0,0.0,SD,58300.0,95300.0,False,-10.0,13:12:04
5110.0,300,-20.0,0.0,BU,58300.0,93100.0,False,10.0,13:10:24
5100.0,2800,-30.0,0.0,SD,58000.0,93100.0,False,0.0,13:10:22
5100.0,100,-30.0,0.0,SD,58000.0,90300.0,False,0.0,13:10:22
5100.0,800,-30.0,0.0,SD,58000.0,90200.0,False,-10.0,13:10:22
5110.0,200,-20.0,0.0,BU,58000.0,89400.0,False,0.0,13:09:58
5110.0,200,-20.0,0.0,BU,57800.0,89400.0,False,0.0,13:09:20
5110.0,400,-20.0,0.0,SD,57600.0,89400.0,False,0.0,13:08:34
5110.0,200,-20.0,0.0,SD,57600.0,89000.0,False,0.0,13:08:16
5110.0,100,-20.0,0.0,SD,57600.0,88800.0,False,-10.0,13:07:58
5120.0,200,-10.0,0.0,BU,57600.0,88700.0,False,0.0,13:07:47
5120.0,200,-10.0,0.0,BU,57400.0,88700.0,False,0.0,13:07:41
5120.0,1200,-10.0,0.0,BU,57200.0,88700.0,False,0.0,13:06:05
5120.0,500,-10.0,0.0,BU,56000.0,88700.0,False,0.0,13:06:05
5120.0,300,-10.0,0.0,BU,55500.0,88700.0,False,0.0,13:06:05
5120.0,3000,-10.0,0.0,BU,55200.0,88700.0,False,20.0,13:05:11
5100.0,200,-30.0,0.0,SD,52200.0,88700.0,False,-10.0,13:01:47
5110.0,100,-20.0,0.0,SD,52200.0,88500.0,False,0.0,13:00:28
5110.0,1000,-20.0,0.0,SD,52200.0,88400.0,False,-10.0,13:00:28
5120.0,400,-10.0,0.0,BU,52200.0,87400.0,False,0.0,13:00:20
5120.0,10000,-10.0,0.0,BU,51800.0,87400.0,False,0.0,13:00:05
5120.0,200,-10.0,0.0,BU,41800.0,87400.0,False,-30.0,13:00:05
5150.0,1100,20.0,0.0,BU,41600.0,87400.0,False,0.0,13:00:05
5150.0,1000,20.0,0.0,BU,40500.0,87400.0,False,0.0,13:00:04
5150.0,500,20.0,0.0,BU,39500.0,87400.0,False,0.0,13:00:04
5150.0,5000,20.0,0.0,BU,39000.0,87400.0,False,0.0,13:00:04
5150.0,500,20.0,0.0,BU,34000.0,87400.0,False,0.0,13:00:04
5150.0,2700,20.0,0.0,BU,33500.0,87400.0,False,0.0,13:00:04
5150.0,100,20.0,0.0,BU,30800.0,87400.0,False,0.0,11:27:02
5150.0,1200,20.0,0.0,BU,30700.0,87400.0,False,10.0,11:24:51
5140.0,1000,10.0,0.0,BU,29500.0,87400.0,False,-10.0,11:24:50
5150.0,300,20.0,0.0,BU,28500.0,87400.0,False,10.0,11:24:50
5140.0,400,10.0,0.0,BU,28200.0,87400.0,False,10.0,11:21:46
5130.0,200,0.0,0.0,SD,27800.0,87400.0,False,0.0,11:19:17
5130.0,3600,0.0,0.0,SD,27800.0,87200.0,False,-10.0,11:19:17
5140.0,1300,10.0,0.0,BU,27800.0,83600.0,False,0.0,11:18:15
5140.0,5000,10.0,0.0,SD,26500.0,83600.0,False,-10.0,11:15:50
5150.0,100,20.0,0.0,BU,26500.0,78600.0,False,20.0,11:13:32
5130.0,3700,0.0,0.0,SD,26400.0,78600.0,False,0.0,11:05:18
5130.0,200,0.0,0.0,SD,26400.0,74900.0,False,-20.0,10:59:44
5150.0,100,20.0,0.0,BU,26400.0,74700.0,False,0.0,10:48:23
5150.0,100,20.0,0.0,BU,26300.0,74700.0,False,0.0,10:48:18
5150.0,100,20.0,0.0,BU,26200.0,74700.0,False,0.0,10:46:03
5150.0,400,20.0,0.0,SD,26100.0,74700.0,False,0.0,10:45:57
5150.0,100,20.0,0.0,SD,26100.0,74300.0,False,0.0,10:45:35
5150.0,500,20.0,0.0,BU,26100.0,74200.0,False,0.0,10:44:32
5150.0,2200,20.0,0.0,BU,25600.0,74200.0,False,10.0,10:44:32
5140.0,700,10.0,0.0,BU,23400.0,74200.0,False,0.0,10:44:32
5140.0,100,10.0,0.0,BU,22700.0,74200.0,False,10.0,10:44:32
5130.0,100,0.0,0.0,SD,22600.0,74200.0,False,10.0,10:40:15
5120.0,100,-10.0,0.0,SD,22600.0,74100.0,False,0.0,10:34:23
5120.0,100,-10.0,0.0,SD,22600.0,74000.0,False,-10.0,10:34:23
5130.0,100,0.0,0.0,SD,22600.0,73900.0,False,0.0,10:32:59
5130.0,200,0.0,0.0,SD,22600.0,73800.0,False,-20.0,10:32:59
5150.0,5000,20.0,0.0,SD,22600.0,73600.0,False,0.0,10:32:45
5150.0,7800,20.0,0.0,SD,22600.0,68600.0,False,0.0,10:32:45
5150.0,200,20.0,0.0,SD,22600.0,60800.0,False,0.0,10:31:44
5150.0,2000,20.0,0.0,SD,22600.0,60600.0,False,0.0,10:29:56
5150.0,2000,20.0,0.0,BU,22600.0,58600.0,False,0.0,10:21:02
5150.0,1000,20.0,0.0,BU,20600.0,58600.0,False,0.0,10:21:02
5150.0,2000,20.0,0.0,SD,19600.0,58600.0,False,0.0,10:20:19
5150.0,5600,20.0,0.0,SD,19600.0,56600.0,False,0.0,10:18:49
5150.0,6000,20.0,0.0,SD,19600.0,51000.0,False,0.0,10:18:38
5150.0,200,20.0,0.0,SD,19600.0,45000.0,False,-20.0,10:17:13
5170.0,100,40.0,0.0,BU,19600.0,44800.0,False,0.0,10:10:34
5170.0,400,40.0,0.0,BU,19500.0,44800.0,False,0.0,10:10:34
5170.0,7200,40.0,0.0,SD,19100.0,44800.0,False,-10.0,10:10:28
5180.0,100,50.0,0.0,BU,19100.0,37600.0,False,10.0,10:06:46
