p,v,cp,rcp,a,ba,sa,hl,pcp,t
10200.0,59600,0.0,0.0,,297500.0,300800.0,False,100.0,14:45:02
10100.0,100,-100.0,0.0,SD,297500.0,300800.0,False,0.0,14:28:48
10100.0,1200,-100.0,0.0,SD,297500.0,300700.0,False,-100.0,14:27:52
10200.0,300,0.0,0.0,BU,297500.0,299500.0,False,0.0,14:24:10
10200.0,700,0.0,0.0,BU,297200.0,299500.0,False,0.0,14:23:53
10200.0,100,0.0,0.0,BU,296500.0,299500.0,False,0.0,14:23:45
10200.0,300,0.0,0.0,BU,296400.0,299500.0,False,0.0,14:22:51
10200.0,500,0.0,0.0,BU,296100.0,299500.0,False,0.0,14:21:00
10200.0,500,0.0,0.0,BU,295600.0,299500.0,False,0.0,14:19:00
10200.0,2000,0.0,0.0,SD,295100.0,299500.0,False,0.0,14:17:36
10200.0,100,0.0,0.0,SD,295100.0,297500.0,False,-100.0,14:16:40
10300.0,1900,100.0,0.0,BU,295100.0,297400.0,False,100.0,14:16:20
10200.0,17400,0.0,0.0,BU,293200.0,297400.0,False,100.0,14:14:50
10100.0,200,-100.0,0.0,BU,275800.0,297400.0,False,0.0,14:14:23
10100.0,1000,-100.0,0.0,BU,275600.0,297400.0,False,0.0,14:14:11
10100.0,1400,-100.0,0.0,BU,274600.0,297400.0,False,0.0,14:14:03
10100.0,1600,-100.0,0.0,BU,273200.0,297400.0,False,0.0,14:09:25
10100.0,200,-100.0,0.0,BU,271600.0,297400.0,False,0.0,14:08:07
10100.0,500,-100.0,0.0,BU,271400.0,297400.0,False,0.0,14:07:18
10100.0,32700,-100.0,0.0,SD,270900.0,297400.0,True,-100.0,14:06:39
10200.0,100,0.0,0.0,SD,270900.0,264700.0,False,0.0,14:01:40
10200.0,5000,0.0,0.0,SD,270900.0,264600.0,False,0.0,14:01:34
10200.0,1000,0.0,0.0,SD,270900.0,259600.0,False,0.0,14:01:27
10200.0,500,0.0,0.0,SD,270900.0,258600.0,False,-100.0,14:01:20
10300.0,2000,100.0,0.0,BU,270900.0,258100.0,False,0.0,14:00:48
10300.0,600,100.0,0.0,BU,268900.0,258100.0,False,100.0,14:00:14
