p,v,cp,rcp,a,ba,sa,hl,pcp,t
5920.0,25000,-90.0,0.0,,15300.0,12300.0,False,-80.0,14:45:02
6000.0,500,-10.0,0.0,BU,15300.0,12300.0,False,0.0,14:26:20
6000.0,200,-10.0,0.0,SD,14800.0,12300.0,False,0.0,14:24:11
6000.0,300,-10.0,0.0,SD,14800.0,12100.0,False,0.0,14:24:11
6000.0,100,-10.0,0.0,SD,14800.0,11800.0,False,0.0,14:10:19
6000.0,100,-10.0,0.0,SD,14800.0,11700.0,False,0.0,14:08:54
6000.0,2000,-10.0,0.0,SD,14800.0,11600.0,False,0.0,14:00:19
6000.0,2600,-10.0,0.0,SD,14800.0,9600.0,False,0.0,14:00:19
6000.0,200,-10.0,0.0,BU,14800.0,7000.0,False,0.0,13:56:21
6000.0,100,-10.0,0.0,BU,14600.0,7000.0,False,0.0,13:53:26
6000.0,200,-10.0,0.0,BU,14500.0,7000.0,False,0.0,13:42:55
6000.0,400,-10.0,0.0,BU,14300.0,7000.0,False,0.0,13:31:33
6000.0,100,-10.0,0.0,SD,13900.0,7000.0,False,0.0,13:12:18
6000.0,200,-10.0,0.0,SD,13900.0,6900.0,False,0.0,13:12:18
6000.0,500,-10.0,0.0,SD,13900.0,6700.0,False,0.0,13:12:18
6000.0,500,-10.0,0.0,SD,13900.0,6200.0,False,0.0,13:12:18
6000.0,400,-10.0,0.0,SD,13900.0,5700.0,False,0.0,13:12:18
6000.0,100,-10.0,0.0,SD,13900.0,5300.0,False,0.0,11:04:45
6000.0,1000,-10.0,0.0,SD,13900.0,5200.0,False,0.0,11:04:45
6000.0,500,-10.0,0.0,SD,13900.0,4200.0,False,-10.0,11:04:45
6010.0,500,0.0,0.0,SD,13900.0,3700.0,False,0.0,11:04:02
6010.0,300,0.0,0.0,SD,13900.0,3200.0,False,0.0,11:04:02
6010.0,200,0.0,0.0,SD,13900.0,2900.0,False,0.0,10:46:56
6010.0,500,0.0,0.0,SD,13900.0,2700.0,False,-90.0,10:34:33
6100.0,100,90.0,0.0,BU,13900.0,2200.0,False,-50.0,10:30:02
6150.0,13800,140.0,0.0,BU,13800.0,2200.0,False,0.0,10:10:58
6150.0,2100,140.0,0.0,SD,0.0,2200.0,False,0.0,10:06:12
6150.0,100,140.0,0.0,SD,0.0,100.0,False,-50.0,10:05:13
6200.0,2700,190.0,0.0,,0.0,0.0,False,0.0,09:15:02
