p,v,cp,rcp,a,ba,sa,hl,pcp,t
23650.0,500,-300.0,0.0,,93500.0,50500.0,False,400.0,14:45:02
23250.0,100,-700.0,0.0,BU,93500.0,50500.0,False,0.0,14:28:00
23250.0,2500,-700.0,0.0,BU,93400.0,50500.0,False,0.0,14:28:00
23250.0,100,-700.0,0.0,SD,90900.0,50500.0,False,0.0,14:25:50
23250.0,200,-700.0,0.0,SD,90900.0,50400.0,False,0.0,14:25:50
23250.0,400,-700.0,0.0,BU,90900.0,50200.0,False,0.0,14:24:07
23250.0,200,-700.0,0.0,BU,90500.0,50200.0,False,0.0,14:23:10
23250.0,100,-700.0,0.0,BU,90300.0,50200.0,False,0.0,14:23:10
23250.0,500,-700.0,0.0,BU,90200.0,50200.0,False,0.0,14:23:10
23250.0,200,-700.0,0.0,BU,89700.0,50200.0,False,0.0,14:23:10
23250.0,100,-700.0,0.0,BU,89500.0,50200.0,False,0.0,14:23:10
23250.0,500,-700.0,0.0,BU,89400.0,50200.0,False,-50.0,14:23:10
23300.0,100,-650.0,0.0,BU,88900.0,50200.0,False,50.0,14:22:56
23250.0,3100,-700.0,0.0,SD,88800.0,50200.0,False,-50.0,14:22:56
23300.0,100,-650.0,0.0,BU,88800.0,47100.0,False,0.0,14:22:56
23300.0,100,-650.0,0.0,BU,88700.0,47100.0,False,0.0,14:22:56
23300.0,300,-650.0,0.0,BU,88600.0,47100.0,False,0.0,14:22:56
23300.0,100,-650.0,0.0,BU,88300.0,47100.0,False,0.0,14:22:56
23300.0,1000,-650.0,0.0,BU,88200.0,47100.0,False,0.0,14:22:56
23300.0,200,-650.0,0.0,BU,87200.0,47100.0,False,-100.0,14:22:56
23400.0,100,-550.0,0.0,BU,87000.0,47100.0,False,0.0,14:18:50
23400.0,200,-550.0,0.0,BU,86900.0,47100.0,False,0.0,14:17:58
23400.0,100,-550.0,0.0,BU,86700.0,47100.0,False,0.0,14:13:41
23400.0,100,-550.0,0.0,BU,86600.0,47100.0,False,0.0,14:12:30
23400.0,100,-550.0,0.0,BU,86500.0,47100.0,False,150.0,14:11:49
23250.0,1400,-700.0,0.0,SD,86400.0,47100.0,False,0.0,14:02:08
23250.0,200,-700.0,0.0,BU,86400.0,45700.0,False,0.0,14:01:49
23250.0,1000,-700.0,0.0,BU,86200.0,45700.0,False,0.0,14:01:49
23250.0,1200,-700.0,0.0,BU,85200.0,45700.0,False,0.0,14:01:49
23250.0,5000,-700.0,0.0,BU,84000.0,45700.0,False,0.0,14:01:49
23250.0,400,-700.0,0.0,BU,79000.0,45700.0,False,0.0,14:01:49
23250.0,600,-700.0,0.0,SD,78600.0,45700.0,False,0.0,13:58:27
23250.0,2000,-700.0,0.0,SD,78600.0,45100.0,False,0.0,13:58:27
23250.0,1200,-700.0,0.0,BU,78600.0,43100.0,False,0.0,13:56:56
23250.0,800,-700.0,0.0,BU,77400.0,43100.0,False,0.0,13:56:56
23250.0,1700,-700.0,0.0,BU,76600.0,43100.0,False,0.0,13:56:35
23250.0,100,-700.0,0.0,BU,74900.0,43100.0,False,0.0,13:56:33
23250.0,100,-700.0,0.0,BU,74800.0,43100.0,False,0.0,13:56:31
23250.0,200,-700.0,0.0,BU,74700.0,43100.0,False,0.0,13:56:27
23250.0,100,-700.0,0.0,BU,74500.0,43100.0,False,0.0,13:56:06
23250.0,800,-700.0,0.0,BU,74400.0,43100.0,False,0.0,13:55:35
23250.0,100,-700.0,0.0,BU,73600.0,43100.0,False,0.0,13:55:21
23250.0,200,-700.0,0.0,SD,73500.0,43100.0,False,0.0,13:55:01
23250.0,100,-700.0,0.0,SD,73500.0,42900.0,False,0.0,13:55:01
23250.0,3000,-700.0,0.0,SD,73500.0,42800.0,False,0.0,13:55:01
23250.0,1800,-700.0,0.0,BU,73500.0,39800.0,False,0.0,13:54:17
23250.0,700,-700.0,0.0,BU,71700.0,39800.0,False,0.0,13:52:47
23250.0,1000,-700.0,0.0,SD,71000.0,39800.0,False,0.0,13:52:09
23250.0,100,-700.0,0.0,SD,71000.0,38800.0,False,0.0,13:52:09
23250.0,200,-700.0,0.0,SD,71000.0,38700.0,False,-250.0,13:52:09
23500.0,200,-450.0,0.0,BU,71000.0,38500.0,False,250.0,13:51:19
23250.0,1500,-700.0,0.0,BU,70800.0,38500.0,False,0.0,13:50:15
23250.0,100,-700.0,0.0,BU,69300.0,38500.0,False,0.0,13:50:08
23250.0,100,-700.0,0.0,BU,69200.0,38500.0,False,0.0,13:50:04
23250.0,1500,-700.0,0.0,SD,69100.0,38500.0,False,0.0,13:49:35
23250.0,100,-700.0,0.0,SD,69100.0,37000.0,False,0.0,13:49:35
23250.0,1700,-700.0,0.0,SD,69100.0,36900.0,False,0.0,13:49:35
23250.0,1300,-700.0,0.0,BU,69100.0,35200.0,False,0.0,13:47:35
23250.0,200,-700.0,0.0,SD,67800.0,35200.0,False,0.0,13:47:13
23250.0,3500,-700.0,0.0,SD,67800.0,35000.0,False,0.0,13:47:13
23250.0,3500,-700.0,0.0,BU,67800.0,31500.0,False,-350.0,13:46:44
23600.0,1500,-350.0,0.0,BU,64300.0,31500.0,False,350.0,13:46:08
23250.0,100,-700.0,0.0,BU,62800.0,31500.0,False,0.0,13:45:26
23250.0,100,-700.0,0.0,BU,62700.0,31500.0,False,0.0,13:44:58
23250.0,1000,-700.0,0.0,BU,62600.0,31500.0,False,0.0,13:44:41
23250.0,1000,-700.0,0.0,BU,61600.0,31500.0,False,0.0,13:44:20
23250.0,500,-700.0,0.0,BU,60600.0,31500.0,False,0.0,13:44:19
23250.0,200,-700.0,0.0,BU,60100.0,31500.0,False,0.0,13:44:07
23250.0,100,-700.0,0.0,BU,59900.0,31500.0,False,0.0,13:44:04
23250.0,100,-700.0,0.0,BU,59800.0,31500.0,False,0.0,13:43:57
23250.0,200,-700.0,0.0,BU,59700.0,31500.0,False,0.0,13:43:57
23250.0,700,-700.0,0.0,BU,59500.0,31500.0,False,0.0,13:43:57
23250.0,300,-700.0,0.0,BU,58800.0,31500.0,False,0.0,13:43:57
23250.0,100,-700.0,0.0,BU,58500.0,31500.0,False,0.0,13:43:29
23250.0,100,-700.0,0.0,BU,58400.0,31500.0,False,0.0,13:43:26
23250.0,100,-700.0,0.0,BU,58300.0,31500.0,False,0.0,13:43:13
23250.0,1000,-700.0,0.0,BU,58200.0,31500.0,False,0.0,13:43:00
23250.0,6000,-700.0,0.0,BU,57200.0,31500.0,False,0.0,13:43:00
23250.0,200,-700.0,0.0,BU,51200.0,31500.0,False,0.0,13:43:00
23250.0,500,-700.0,0.0,BU,51000.0,31500.0,False,-50.0,13:43:00
23300.0,100,-650.0,0.0,BU,50500.0,31500.0,False,-100.0,13:43:00
23400.0,100,-550.0,0.0,BU,50400.0,31500.0,False,-250.0,13:43:00
23650.0,100,-300.0,0.0,BU,50300.0,31500.0,False,50.0,13:42:41
23600.0,100,-350.0,0.0,BU,50200.0,31500.0,False,350.0,13:42:37
23250.0,100,-700.0,0.0,BU,50100.0,31500.0,False,0.0,13:41:30
23250.0,100,-700.0,0.0,BU,50000.0,31500.0,False,0.0,13:41:16
23250.0,200,-700.0,0.0,BU,49900.0,31500.0,False,0.0,13:40:44
23250.0,800,-700.0,0.0,BU,49700.0,31500.0,False,0.0,13:40:44
23250.0,1100,-700.0,0.0,BU,48900.0,31500.0,False,0.0,13:40:44
23250.0,200,-700.0,0.0,BU,47800.0,31500.0,False,0.0,13:40:44
23250.0,300,-700.0,0.0,BU,47600.0,31500.0,False,0.0,13:40:44
23250.0,200,-700.0,0.0,SD,47300.0,31500.0,False,0.0,13:40:44
23250.0,300,-700.0,0.0,BU,47300.0,31300.0,False,0.0,13:38:17
23250.0,100,-700.0,0.0,BU,47000.0,31300.0,False,0.0,13:38:07
23250.0,700,-700.0,0.0,SD,46900.0,31300.0,False,0.0,13:37:58
23250.0,300,-700.0,0.0,SD,46900.0,30600.0,False,0.0,13:37:58
23250.0,100,-700.0,0.0,SD,46900.0,30300.0,False,0.0,13:37:58
23250.0,100,-700.0,0.0,SD,46900.0,30200.0,False,0.0,13:37:58
23250.0,300,-700.0,0.0,SD,46900.0,30100.0,False,0.0,13:37:58
23250.0,100,-700.0,0.0,SD,46900.0,29800.0,False,0.0,13:37:58
23250.0,400,-700.0,0.0,BU,46900.0,29700.0,False,0.0,13:36:16
23250.0,100,-700.0,0.0,BU,46500.0,29700.0,False,0.0,13:35:58
23250.0,1000,-700.0,0.0,BU,46400.0,29700.0,False,0.0,13:35:58
23250.0,100,-700.0,0.0,BU,45400.0,29700.0,False,0.0,13:35:58
23250.0,300,-700.0,0.0,BU,45300.0,29700.0,False,0.0,13:35:58
23250.0,100,-700.0,0.0,BU,45000.0,29700.0,False,0.0,13:35:58
23250.0,500,-700.0,0.0,BU,44900.0,29700.0,False,0.0,13:34:21
23250.0,100,-700.0,0.0,BU,44400.0,29700.0,False,0.0,13:34:14
23250.0,200,-700.0,0.0,SD,44300.0,29700.0,False,0.0,13:33:39
23250.0,100,-700.0,0.0,SD,44300.0,29500.0,False,-50.0,13:33:39
23300.0,500,-650.0,0.0,SD,44300.0,29400.0,False,50.0,13:33:39
23250.0,100,-700.0,0.0,SD,44300.0,28900.0,False,-50.0,13:33:39
23300.0,500,-650.0,0.0,SD,44300.0,28800.0,False,50.0,13:33:39
23250.0,400,-700.0,0.0,SD,44300.0,28300.0,False,0.0,13:30:34
23250.0,600,-700.0,0.0,BU,44300.0,27900.0,False,0.0,13:29:56
23250.0,1000,-700.0,0.0,SD,43700.0,27900.0,False,0.0,13:29:52
23250.0,500,-700.0,0.0,SD,43700.0,26900.0,False,0.0,13:29:52
23250.0,500,-700.0,0.0,SD,43700.0,26400.0,False,0.0,13:29:52
23250.0,100,-700.0,0.0,SD,43700.0,25900.0,False,0.0,13:29:52
23250.0,100,-700.0,0.0,BU,43700.0,25800.0,False,0.0,13:20:27
23250.0,100,-700.0,0.0,BU,43600.0,25800.0,False,0.0,13:19:48
23250.0,100,-700.0,0.0,BU,43500.0,25800.0,False,0.0,13:19:35
23250.0,100,-700.0,0.0,BU,43400.0,25800.0,False,0.0,13:19:32
23250.0,100,-700.0,0.0,BU,43300.0,25800.0,False,0.0,13:18:11
23250.0,1000,-700.0,0.0,SD,43200.0,25800.0,False,0.0,13:16:01
23250.0,200,-700.0,0.0,SD,43200.0,24800.0,False,0.0,13:16:01
23250.0,4000,-700.0,0.0,SD,43200.0,24600.0,False,0.0,13:16:01
23250.0,100,-700.0,0.0,SD,43200.0,20600.0,False,-50.0,13:16:01
23300.0,1000,-650.0,0.0,BU,43200.0,20500.0,False,0.0,13:14:35
23300.0,400,-650.0,0.0,BU,42200.0,20500.0,False,0.0,13:12:53
23300.0,600,-650.0,0.0,SD,41800.0,20500.0,False,-50.0,13:10:17
23350.0,400,-600.0,0.0,SD,41800.0,19900.0,False,-50.0,13:10:17
23400.0,1000,-550.0,0.0,BU,41800.0,19500.0,False,50.0,13:10:16
23350.0,600,-600.0,0.0,SD,40800.0,19500.0,False,0.0,13:09:36
23350.0,1200,-600.0,0.0,BU,40800.0,18900.0,False,50.0,13:09:31
23300.0,500,-650.0,0.0,BU,39600.0,18900.0,False,0.0,13:08:46
23300.0,2000,-650.0,0.0,BU,39100.0,18900.0,False,0.0,13:08:41
23300.0,1000,-650.0,0.0,SD,37100.0,18900.0,False,0.0,13:07:59
23300.0,100,-650.0,0.0,SD,37100.0,17900.0,False,0.0,13:07:59
23300.0,1000,-650.0,0.0,SD,37100.0,17800.0,False,0.0,13:07:59
23300.0,100,-650.0,0.0,SD,37100.0,16800.0,False,0.0,13:07:59
23300.0,2000,-650.0,0.0,SD,37100.0,16700.0,False,0.0,13:07:59
23300.0,300,-650.0,0.0,SD,37100.0,14700.0,False,-50.0,13:07:59
23350.0,100,-600.0,0.0,BU,37100.0,14400.0,False,0.0,13:07:16
23350.0,1000,-600.0,0.0,BU,37000.0,14400.0,False,0.0,13:07:16
23350.0,1000,-600.0,0.0,BU,36000.0,14400.0,False,0.0,13:07:16
23350.0,100,-600.0,0.0,BU,35000.0,14400.0,False,0.0,13:07:16
23350.0,1000,-600.0,0.0,BU,34900.0,14400.0,False,-50.0,13:07:16
23400.0,100,-550.0,0.0,BU,33900.0,14400.0,False,0.0,13:07:09
23400.0,100,-550.0,0.0,SD,33800.0,14400.0,False,0.0,13:06:25
23400.0,1000,-550.0,0.0,SD,33800.0,14300.0,False,0.0,13:06:25
23400.0,1400,-550.0,0.0,SD,33800.0,13300.0,False,-100.0,13:06:25
23500.0,1000,-450.0,0.0,BU,33800.0,11900.0,False,0.0,13:05:42
23500.0,100,-450.0,0.0,BU,32800.0,11900.0,False,0.0,13:03:56
23500.0,100,-450.0,0.0,BU,32700.0,11900.0,False,0.0,13:03:56
23500.0,500,-450.0,0.0,BU,32600.0,11900.0,False,0.0,13:03:56
23500.0,1000,-450.0,0.0,BU,32100.0,11900.0,False,0.0,13:03:56
23500.0,500,-450.0,0.0,BU,31100.0,11900.0,False,0.0,13:03:56
23500.0,100,-450.0,0.0,BU,30600.0,11900.0,False,0.0,13:03:56
23500.0,100,-450.0,0.0,BU,30500.0,11900.0,False,-100.0,13:03:56
23600.0,2000,-350.0,0.0,BU,30400.0,11900.0,False,0.0,13:03:56
23600.0,100,-350.0,0.0,BU,28400.0,11900.0,False,0.0,13:03:56
23600.0,2000,-350.0,0.0,BU,28300.0,11900.0,False,0.0,13:03:56
23600.0,400,-350.0,0.0,BU,26300.0,11900.0,False,-100.0,13:03:56
23700.0,100,-250.0,0.0,SD,25900.0,11900.0,False,0.0,13:03:36
23700.0,2000,-250.0,0.0,SD,25900.0,11800.0,False,0.0,13:03:36
23700.0,200,-250.0,0.0,SD,25900.0,9800.0,False,-100.0,13:03:36
23800.0,300,-150.0,0.0,BU,25900.0,9600.0,False,-50.0,13:02:50
23850.0,600,-100.0,0.0,BU,25600.0,9600.0,False,-50.0,13:02:50
23900.0,1200,-50.0,0.0,BU,25000.0,9600.0,False,0.0,13:01:14
23900.0,6900,-50.0,0.0,BU,23800.0,9600.0,False,0.0,13:00:35
23900.0,100,-50.0,0.0,BU,16900.0,9600.0,False,50.0,13:00:35
23850.0,700,-100.0,0.0,BU,16800.0,9600.0,False,0.0,13:00:01
23850.0,700,-100.0,0.0,BU,16100.0,9600.0,False,50.0,13:00:00
23800.0,300,-150.0,0.0,BU,15400.0,9600.0,False,0.0,13:00:00
23800.0,2700,-150.0,0.0,BU,15100.0,9600.0,False,0.0,11:29:05
23800.0,300,-150.0,0.0,BU,12400.0,9600.0,False,100.0,11:29:05
23700.0,800,-250.0,0.0,BU,12100.0,9600.0,False,0.0,10:56:49
23700.0,500,-250.0,0.0,BU,11300.0,9600.0,False,0.0,10:56:16
23700.0,1000,-250.0,0.0,BU,10800.0,9600.0,False,100.0,10:53:31
23600.0,1600,-350.0,0.0,SD,9800.0,9600.0,False,-100.0,10:50:44
23700.0,200,-250.0,0.0,BU,9800.0,8000.0,False,0.0,10:49:26
23700.0,2000,-250.0,0.0,BU,9600.0,8000.0,False,50.0,10:46:25
23650.0,1000,-300.0,0.0,SD,7600.0,8000.0,False,-50.0,10:45:25
23700.0,100,-250.0,0.0,SD,7600.0,7000.0,False,-100.0,10:44:20
23800.0,1000,-150.0,0.0,SD,7600.0,6900.0,False,0.0,10:39:11
23800.0,200,-150.0,0.0,SD,7600.0,5900.0,False,0.0,10:39:11
23800.0,800,-150.0,0.0,SD,7600.0,5700.0,False,0.0,10:25:09
23800.0,100,-150.0,0.0,SD,7600.0,4900.0,False,0.0,10:25:09
23800.0,100,-150.0,0.0,SD,7600.0,4800.0,False,0.0,10:25:09
23800.0,100,-150.0,0.0,SD,7600.0,4700.0,False,0.0,10:21:24
23800.0,800,-150.0,0.0,SD,7600.0,4600.0,False,0.0,10:20:43
23800.0,100,-150.0,0.0,SD,7600.0,3800.0,False,0.0,10:20:43
23800.0,100,-150.0,0.0,SD,7600.0,3700.0,False,-100.0,10:20:43
23900.0,400,-50.0,0.0,BU,7600.0,3600.0,False,0.0,10:14:08
23900.0,1900,-50.0,0.0,BU,7200.0,3600.0,False,0.0,10:09:10
23900.0,100,-50.0,0.0,BU,5300.0,3600.0,False,0.0,10:09:10
23900.0,4000,-50.0,0.0,BU,5200.0,3600.0,False,100.0,09:48:46
23800.0,200,-150.0,0.0,BU,1200.0,3600.0,False,0.0,09:48:46
23800.0,400,-150.0,0.0,BU,1000.0,3600.0,False,0.0,09:48:46
23800.0,3500,-150.0,0.0,SD,600.0,3600.0,False,0.0,09:39:07
23800.0,100,-150.0,0.0,SD,600.0,100.0,False,0.0,09:39:07
23800.0,100,-150.0,0.0,BU,600.0,0.0,False,-50.0,09:26:05
23850.0,100,-100.0,0.0,BU,500.0,0.0,False,-50.0,09:18:12
23900.0,400,-50.0,0.0,BU,400.0,0.0,False,0.0,09:17:36
23900.0,500,-50.0,0.0,,0.0,0.0,False,0.0,09:15:01
