p,v,cp,rcp,a,ba,sa,hl,pcp,t
8000.0,119900,10.0,0.0,,236500.0,104700.0,False,0.0,14:45:01
8000.0,14700,10.0,0.0,BU,236500.0,104700.0,False,0.0,14:29:54
8000.0,500,10.0,0.0,BU,221800.0,104700.0,False,0.0,14:29:54
8000.0,5000,10.0,0.0,BU,221300.0,104700.0,False,0.0,14:29:54
8000.0,100,10.0,0.0,BU,216300.0,104700.0,False,0.0,14:29:54
8000.0,100,10.0,0.0,BU,216200.0,104700.0,False,0.0,14:29:54
8000.0,1000,10.0,0.0,BU,216100.0,104700.0,False,0.0,14:29:54
8000.0,200,10.0,0.0,BU,215100.0,104700.0,False,0.0,14:29:54
8000.0,100,10.0,0.0,BU,214900.0,104700.0,False,10.0,14:29:54
7990.0,400,0.0,0.0,BU,214800.0,104700.0,False,0.0,14:29:54
7990.0,2700,0.0,0.0,BU,214400.0,104700.0,False,0.0,14:29:54
7990.0,2000,0.0,0.0,BU,211700.0,104700.0,False,0.0,14:29:54
7990.0,100,0.0,0.0,BU,209700.0,104700.0,False,0.0,14:29:54
7990.0,2600,0.0,0.0,BU,209600.0,104700.0,False,0.0,14:29:54
7990.0,500,0.0,0.0,BU,207000.0,104700.0,False,0.0,14:29:54
7990.0,500,0.0,0.0,BU,206500.0,104700.0,False,0.0,14:29:54
7990.0,7000,0.0,0.0,BU,206000.0,104700.0,False,0.0,14:29:54
7990.0,200,0.0,0.0,BU,199000.0,104700.0,False,0.0,14:29:54
7990.0,2300,0.0,0.0,BU,198800.0,104700.0,False,0.0,14:29:54
7990.0,700,0.0,0.0,BU,196500.0,104700.0,False,10.0,14:29:20
7980.0,200,-10.0,0.0,BU,195800.0,104700.0,False,0.0,14:29:20
7980.0,200,-10.0,0.0,BU,195600.0,104700.0,False,0.0,14:29:20
7980.0,500,-10.0,0.0,BU,195400.0,104700.0,False,0.0,14:29:20
7980.0,400,-10.0,0.0,BU,194900.0,104700.0,False,10.0,14:29:20
7970.0,100,-20.0,0.0,BU,194500.0,104700.0,False,-10.0,14:28:55
7980.0,100,-10.0,0.0,BU,194400.0,104700.0,False,10.0,14:28:55
7970.0,100,-20.0,0.0,BU,194300.0,104700.0,False,0.0,14:28:55
7970.0,100,-20.0,0.0,BU,194200.0,104700.0,False,0.0,14:28:55
7970.0,500,-20.0,0.0,BU,194100.0,104700.0,False,-10.0,14:28:55
7980.0,3200,-10.0,0.0,BU,193600.0,104700.0,False,0.0,14:28:55
7980.0,500,-10.0,0.0,BU,190400.0,104700.0,False,10.0,14:28:55
7970.0,15000,-20.0,0.0,BU,189900.0,104700.0,False,0.0,14:28:55
7970.0,3800,-20.0,0.0,BU,174900.0,104700.0,False,0.0,14:28:55
