p,v,cp,rcp,a,ba,sa,hl,pcp,t
23450.0,2000,-250.0,0.0,,23300.0,20800.0,False,50.0,14:45:01
23400.0,1000,-300.0,0.0,SD,23300.0,20800.0,False,-50.0,14:23:54
23450.0,3200,-250.0,0.0,BU,23300.0,19800.0,False,-50.0,14:23:36
23500.0,200,-200.0,0.0,BU,20100.0,19800.0,False,0.0,14:21:41
23500.0,300,-200.0,0.0,BU,19900.0,19800.0,False,50.0,14:21:41
23450.0,200,-250.0,0.0,BU,19600.0,19800.0,False,0.0,14:20:36
23450.0,300,-250.0,0.0,BU,19400.0,19800.0,False,0.0,14:19:37
23450.0,200,-250.0,0.0,BU,19100.0,19800.0,False,0.0,14:17:42
23450.0,500,-250.0,0.0,BU,18900.0,19800.0,False,0.0,14:16:55
23450.0,2000,-250.0,0.0,BU,18400.0,19800.0,False,50.0,14:15:03
23400.0,1000,-300.0,0.0,BU,16400.0,19800.0,False,200.0,14:14:21
23200.0,200,-500.0,0.0,BU,15400.0,19800.0,False,-50.0,14:09:32
23250.0,100,-450.0,0.0,SD,15200.0,19800.0,False,0.0,14:09:01
23250.0,100,-450.0,0.0,SD,15200.0,19700.0,False,0.0,14:09:01
23250.0,100,-450.0,0.0,SD,15200.0,19600.0,False,-50.0,14:09:01
23300.0,100,-400.0,0.0,SD,15200.0,19500.0,False,-100.0,14:00:49
23400.0,100,-300.0,0.0,BU,15200.0,19400.0,False,0.0,14:00:04
23400.0,100,-300.0,0.0,BU,15100.0,19400.0,False,0.0,13:54:31
23400.0,100,-300.0,0.0,BU,15000.0,19400.0,False,100.0,13:45:46
23300.0,100,-400.0,0.0,SD,14900.0,19400.0,False,0.0,13:41:08
23300.0,4900,-400.0,0.0,SD,14900.0,19300.0,False,0.0,13:41:08
23300.0,3000,-400.0,0.0,SD,14900.0,14400.0,False,0.0,13:28:24
23300.0,100,-400.0,0.0,SD,14900.0,11400.0,False,0.0,13:19:07
23300.0,400,-400.0,0.0,SD,14900.0,11300.0,False,0.0,13:19:07
23300.0,600,-400.0,0.0,SD,14900.0,10900.0,False,0.0,13:14:59
23300.0,1000,-400.0,0.0,SD,14900.0,10300.0,False,0.0,13:13:21
23300.0,300,-400.0,0.0,SD,14900.0,9300.0,False,0.0,13:02:22
23300.0,500,-400.0,0.0,SD,14900.0,9000.0,False,0.0,13:02:05
23300.0,100,-400.0,0.0,SD,14900.0,8500.0,False,0.0,13:01:12
23300.0,700,-400.0,0.0,SD,14900.0,8400.0,False,0.0,13:01:12
23300.0,1000,-400.0,0.0,SD,14900.0,7700.0,False,-100.0,13:01:12
23400.0,400,-300.0,0.0,SD,14900.0,6700.0,False,0.0,13:00:24
23400.0,100,-300.0,0.0,SD,14900.0,6300.0,False,-100.0,13:00:12
23500.0,4700,-200.0,0.0,BU,14900.0,6200.0,False,0.0,13:00:00
23500.0,1900,-200.0,0.0,BU,10200.0,6200.0,False,100.0,13:00:00
23400.0,700,-300.0,0.0,BU,8300.0,6200.0,False,100.0,13:00:00
23300.0,500,-400.0,0.0,SD,7600.0,6200.0,False,-200.0,11:28:19
23500.0,1000,-200.0,0.0,BU,7600.0,5700.0,False,100.0,11:19:05
23400.0,100,-300.0,0.0,SD,6600.0,5700.0,False,-100.0,11:15:52
23500.0,100,-200.0,0.0,BU,6600.0,5600.0,False,-150.0,11:09:27
23650.0,100,-50.0,0.0,BU,6500.0,5600.0,False,350.0,10:54:53
23300.0,300,-400.0,0.0,SD,6400.0,5600.0,False,0.0,10:53:22
23300.0,3200,-400.0,0.0,SD,6400.0,5300.0,False,0.0,10:53:22
23300.0,100,-400.0,0.0,BU,6400.0,2100.0,False,0.0,10:52:13
