p,v,cp,rcp,a,ba,sa,hl,pcp,t
5800.0,5100,-600.0,-0.1,,9100.0,7300.0,False,0.0,14:45:02
5800.0,6300,-600.0,-0.1,SD,9100.0,7300.0,False,-100.0,14:28:02
5900.0,400,-500.0,-0.1,SD,9100.0,1000.0,False,0.0,14:27:28
5900.0,5600,-500.0,-0.1,BU,9100.0,600.0,False,-200.0,14:27:11
6100.0,400,-300.0,0.0,BU,3500.0,600.0,False,0.0,14:23:37
6100.0,100,-300.0,0.0,BU,3100.0,600.0,False,100.0,13:05:21
6000.0,600,-400.0,-0.1,SD,3000.0,600.0,False,-100.0,13:03:37
6100.0,100,-300.0,0.0,BU,3000.0,0.0,False,0.0,11:11:02
6100.0,1000,-300.0,0.0,BU,2900.0,0.0,False,0.0,11:10:53
6100.0,900,-300.0,0.0,BU,1900.0,0.0,False,-100.0,11:09:30
6200.0,1000,-200.0,0.0,BU,1000.0,0.0,False,0.0,11:01:47
