p,v,cp,rcp,a,ba,sa,hl,pcp,t
88000.0,43500,200.0,0.0,,541300.0,462800.0,False,200.0,14:45:01
87800.0,1000,0.0,0.0,BU,541300.0,462800.0,False,0.0,14:29:30
87800.0,1000,0.0,0.0,BU,540300.0,462800.0,False,0.0,14:29:29
87800.0,500,0.0,0.0,BU,539300.0,462800.0,False,-300.0,14:29:28
88100.0,200,300.0,0.0,BU,538800.0,462800.0,False,100.0,14:29:23
88000.0,100,200.0,0.0,BU,538600.0,462800.0,False,0.0,14:29:23
88000.0,500,200.0,0.0,BU,538500.0,462800.0,False,100.0,14:29:23
87900.0,200,100.0,0.0,BU,538000.0,462800.0,False,0.0,14:29:23
87900.0,1000,100.0,0.0,BU,537800.0,462800.0,False,300.0,14:29:17
87600.0,200,-200.0,0.0,SD,536800.0,462800.0,False,0.0,14:29:11
87600.0,800,-200.0,0.0,SD,536800.0,462600.0,False,-300.0,14:29:11
87900.0,1000,100.0,0.0,BU,536800.0,461800.0,False,300.0,14:29:10
87600.0,800,-200.0,0.0,SD,535800.0,461800.0,False,0.0,14:29:08
87600.0,200,-200.0,0.0,SD,535800.0,461000.0,False,-300.0,14:29:08
87900.0,200,100.0,0.0,SD,535800.0,460800.0,False,0.0,14:29:06
87900.0,600,100.0,0.0,SD,535800.0,460600.0,False,-100.0,14:29:06
88000.0,1000,200.0,0.0,BU,535800.0,460000.0,False,0.0,14:29:03
88000.0,1000,200.0,0.0,BU,534800.0,460000.0,False,0.0,14:28:57
88000.0,100,200.0,0.0,BU,533800.0,460000.0,False,0.0,14:28:55
88000.0,1000,200.0,0.0,BU,533700.0,460000.0,False,100.0,14:28:50
87900.0,1000,100.0,0.0,SD,532700.0,460000.0,False,0.0,14:28:49
87900.0,1800,100.0,0.0,SD,532700.0,459000.0,False,0.0,14:28:49
87900.0,200,100.0,0.0,SD,532700.0,457200.0,False,-100.0,14:28:49
88000.0,1000,200.0,0.0,BU,532700.0,457000.0,False,0.0,14:28:44
88000.0,200,200.0,0.0,BU,531700.0,457000.0,False,0.0,14:28:39
88000.0,700,200.0,0.0,BU,531500.0,457000.0,False,0.0,14:28:39
88000.0,600,200.0,0.0,BU,530800.0,457000.0,False,0.0,14:28:39
88000.0,1000,200.0,0.0,BU,530200.0,457000.0,False,0.0,14:28:39
88000.0,1000,200.0,0.0,BU,529200.0,457000.0,False,0.0,14:28:37
88000.0,1000,200.0,0.0,BU,528200.0,457000.0,False,0.0,14:28:30
88000.0,300,200.0,0.0,BU,527200.0,457000.0,False,0.0,14:28:29
88000.0,1700,200.0,0.0,BU,526900.0,457000.0,False,0.0,14:28:25
88000.0,1700,200.0,0.0,BU,525200.0,457000.0,False,0.0,14:28:25
88000.0,200,200.0,0.0,BU,523500.0,457000.0,False,0.0,14:28:25
88000.0,200,200.0,0.0,BU,523300.0,457000.0,False,0.0,14:28:25
88000.0,1000,200.0,0.0,BU,523100.0,457000.0,False,0.0,14:28:25
88000.0,1000,200.0,0.0,BU,522100.0,457000.0,False,0.0,14:28:17
88000.0,1000,200.0,0.0,BU,521100.0,457000.0,False,-100.0,14:28:10
88100.0,1000,300.0,0.0,BU,520100.0,457000.0,False,500.0,14:28:04
87600.0,200,-200.0,0.0,SD,519100.0,457000.0,False,-700.0,14:27:59
88300.0,500,500.0,0.0,BU,519100.0,456800.0,False,0.0,14:27:58
88300.0,100,500.0,0.0,BU,518600.0,456800.0,False,0.0,14:27:58
88300.0,900,500.0,0.0,BU,518500.0,456800.0,False,0.0,14:27:58
88300.0,200,500.0,0.0,BU,517600.0,456800.0,False,0.0,14:27:58
88300.0,800,500.0,0.0,BU,517400.0,456800.0,False,0.0,14:27:58
88300.0,100,500.0,0.0,BU,516600.0,456800.0,False,0.0,14:27:58
88300.0,100,500.0,0.0,BU,516500.0,456800.0,False,100.0,14:27:58
88200.0,600,400.0,0.0,BU,516400.0,456800.0,False,-100.0,14:27:58
88300.0,200,500.0,0.0,BU,515800.0,456800.0,False,0.0,14:27:58
88300.0,1000,500.0,0.0,BU,515600.0,456800.0,False,100.0,14:27:58
88200.0,100,400.0,0.0,BU,514600.0,456800.0,False,0.0,14:27:58
88200.0,200,400.0,0.0,BU,514500.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,514300.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,514200.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,514100.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,514000.0,456800.0,False,0.0,14:27:58
88200.0,200,400.0,0.0,BU,513900.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,513700.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,513600.0,456800.0,False,0.0,14:27:58
88200.0,100,400.0,0.0,BU,513500.0,456800.0,False,0.0,14:27:58
88200.0,500,400.0,0.0,BU,513400.0,456800.0,False,100.0,14:27:58
88100.0,1100,300.0,0.0,BU,512900.0,456800.0,False,100.0,14:27:58
88000.0,1000,200.0,0.0,BU,511800.0,456800.0,False,0.0,14:27:58
88000.0,10000,200.0,0.0,BU,510800.0,456800.0,True,0.0,14:27:58
88000.0,1700,200.0,0.0,BU,500800.0,456800.0,False,0.0,14:27:58
88000.0,1000,200.0,0.0,BU,499100.0,456800.0,False,0.0,14:27:57
88000.0,1000,200.0,0.0,BU,498100.0,456800.0,False,0.0,14:27:51
88000.0,1000,200.0,0.0,BU,497100.0,456800.0,False,100.0,14:27:44
87900.0,100,100.0,0.0,SD,496100.0,456800.0,False,0.0,14:27:39
87900.0,100,100.0,0.0,SD,496100.0,456700.0,False,0.0,14:27:38
87900.0,400,100.0,0.0,SD,496100.0,456600.0,False,-100.0,14:27:38
88000.0,1000,200.0,0.0,BU,496100.0,456200.0,False,0.0,14:27:37
88000.0,1000,200.0,0.0,BU,495100.0,456200.0,False,0.0,14:27:31
88000.0,1000,200.0,0.0,BU,494100.0,456200.0,False,100.0,14:27:24
87900.0,1200,100.0,0.0,SD,493100.0,456200.0,False,0.0,14:27:23
87900.0,1800,100.0,0.0,SD,493100.0,455000.0,False,0.0,14:27:23
