p,v,cp,rcp,a,ba,sa,hl,pcp,t
23950.0,424100,-50.0,0.0,,4036100.0,4439500.0,False,-50.0,14:45:01
24000.0,1000,0.0,0.0,BU,4036100.0,4439500.0,False,50.0,14:29:59
23950.0,200,-50.0,0.0,SD,4035100.0,4439500.0,False,0.0,14:29:58
23950.0,200,-50.0,0.0,SD,4035100.0,4439300.0,False,-50.0,14:29:58
24000.0,4200,0.0,0.0,BU,4035100.0,4439100.0,False,0.0,14:29:56
24000.0,200,0.0,0.0,BU,4030900.0,4439100.0,False,0.0,14:29:55
24000.0,500,0.0,0.0,BU,4030700.0,4439100.0,False,0.0,14:29:55
24000.0,1000,0.0,0.0,BU,4030200.0,4439100.0,False,50.0,14:29:53
23950.0,1000,-50.0,0.0,SD,4029200.0,4439100.0,False,-50.0,14:29:51
24000.0,1000,0.0,0.0,BU,4029200.0,4438100.0,False,0.0,14:29:47
24000.0,1000,0.0,0.0,BU,4028200.0,4438100.0,False,0.0,14:29:46
24000.0,100,0.0,0.0,BU,4027200.0,4438100.0,False,0.0,14:29:45
24000.0,1000,0.0,0.0,BU,4027100.0,4438100.0,False,0.0,14:29:43
24000.0,25000,0.0,0.0,BU,4026100.0,4438100.0,True,50.0,14:29:41
23950.0,1400,-50.0,0.0,SD,4001100.0,4438100.0,False,0.0,14:29:38
23950.0,500,-50.0,0.0,SD,4001100.0,4436700.0,False,-50.0,14:29:37
24000.0,5000,0.0,0.0,BU,4001100.0,4436200.0,False,50.0,14:29:32
23950.0,900,-50.0,0.0,SD,3996100.0,4436200.0,False,-150.0,14:29:30
24100.0,2700,100.0,0.0,BU,3996100.0,4435300.0,False,0.0,14:29:30
24100.0,300,100.0,0.0,BU,3993400.0,4435300.0,False,0.0,14:29:30
24100.0,300,100.0,0.0,BU,3993100.0,4435300.0,False,0.0,14:29:30
24100.0,300,100.0,0.0,BU,3992800.0,4435300.0,False,50.0,14:29:30
24050.0,1000,50.0,0.0,BU,3992500.0,4435300.0,False,0.0,14:29:30
24050.0,500,50.0,0.0,BU,3991500.0,4435300.0,False,0.0,14:29:30
24050.0,5000,50.0,0.0,BU,3991000.0,4435300.0,False,0.0,14:29:30
24050.0,10000,50.0,0.0,BU,3986000.0,4435300.0,True,0.0,14:29:30
24050.0,300,50.0,0.0,BU,3976000.0,4435300.0,False,0.0,14:29:30
24050.0,2800,50.0,0.0,BU,3975700.0,4435300.0,False,0.0,14:29:30
24050.0,1700,50.0,0.0,BU,3972900.0,4435300.0,False,50.0,14:29:30
24000.0,100,0.0,0.0,BU,3971200.0,4435300.0,False,0.0,14:29:30
24000.0,900,0.0,0.0,BU,3971100.0,4435300.0,False,0.0,14:29:27
24000.0,1100,0.0,0.0,BU,3970200.0,4435300.0,False,0.0,14:29:27
24000.0,400,0.0,0.0,BU,3969100.0,4435300.0,False,0.0,14:29:27
24000.0,1600,0.0,0.0,BU,3968700.0,4435300.0,False,0.0,14:29:27
24000.0,1000,0.0,0.0,BU,3967100.0,4435300.0,False,0.0,14:29:27
24000.0,2000,0.0,0.0,BU,3966100.0,4435300.0,False,0.0,14:29:23
24000.0,600,0.0,0.0,BU,3964100.0,4435300.0,False,0.0,14:29:20
24000.0,10000,0.0,0.0,BU,3963500.0,4435300.0,True,0.0,14:29:20
24000.0,12100,0.0,0.0,BU,3953500.0,4435300.0,True,0.0,14:29:20
24000.0,2300,0.0,0.0,BU,3941400.0,4435300.0,False,0.0,14:29:20
24000.0,1000,0.0,0.0,BU,3939100.0,4435300.0,False,0.0,14:29:20
24000.0,200,0.0,0.0,BU,3938100.0,4435300.0,False,0.0,14:29:19
24000.0,100,0.0,0.0,BU,3937900.0,4435300.0,False,0.0,14:29:16
24000.0,1000,0.0,0.0,BU,3937800.0,4435300.0,False,0.0,14:29:14
24000.0,400,0.0,0.0,BU,3936800.0,4435300.0,False,0.0,14:29:10
24000.0,1000,0.0,0.0,BU,3936400.0,4435300.0,False,0.0,14:29:10
24000.0,300,0.0,0.0,BU,3935400.0,4435300.0,False,0.0,14:29:10
24000.0,400,0.0,0.0,BU,3935100.0,4435300.0,False,0.0,14:29:10
24000.0,100,0.0,0.0,BU,3934700.0,4435300.0,False,0.0,14:29:10
24000.0,900,0.0,0.0,BU,3934600.0,4435300.0,False,50.0,14:29:10
23950.0,5000,-50.0,0.0,SD,3933700.0,4435300.0,False,-50.0,14:29:09
24000.0,100,0.0,0.0,BU,3933700.0,4430300.0,False,0.0,14:29:08
24000.0,400,0.0,0.0,BU,3933600.0,4430300.0,False,0.0,14:29:08
24000.0,1000,0.0,0.0,BU,3933200.0,4430300.0,False,0.0,14:29:08
24000.0,100,0.0,0.0,SD,3932200.0,4430300.0,False,0.0,14:29:02
24000.0,500,0.0,0.0,SD,3932200.0,4430200.0,False,0.0,14:29:02
24000.0,500,0.0,0.0,SD,3932200.0,4429700.0,False,0.0,14:29:02
24000.0,300,0.0,0.0,SD,3932200.0,4429200.0,False,0.0,14:29:02
24000.0,1000,0.0,0.0,SD,3932200.0,4428900.0,False,0.0,14:29:02
24000.0,4200,0.0,0.0,SD,3932200.0,4427900.0,False,0.0,14:29:02
24000.0,1000,0.0,0.0,SD,3932200.0,4423700.0,False,0.0,14:29:02
24000.0,3000,0.0,0.0,SD,3932200.0,4422700.0,False,-50.0,14:29:02
24050.0,300,50.0,0.0,BU,3932200.0,4419700.0,False,0.0,14:28:59
24050.0,5000,50.0,0.0,BU,3931900.0,4419700.0,False,0.0,14:28:59
24050.0,1000,50.0,0.0,BU,3926900.0,4419700.0,False,0.0,14:28:59
24050.0,200,50.0,0.0,BU,3925900.0,4419700.0,False,0.0,14:28:59
24050.0,400,50.0,0.0,BU,3925700.0,4419700.0,False,0.0,14:28:59
24050.0,1000,50.0,0.0,BU,3925300.0,4419700.0,False,0.0,14:28:59
