p,v,cp,rcp,a,ba,sa,hl,pcp,t
124800.0,500,3300.0,0.0,BU,800.0,2000.0,False,4800.0,11:12:11
120000.0,100,-1500.0,0.0,BU,300.0,2000.0,False,0.0,10:53:03
120000.0,100,-1500.0,0.0,BU,200.0,2000.0,False,1800.0,10:52:56
118200.0,500,-3300.0,0.0,SD,100.0,2000.0,False,-100.0,10:42:46
118300.0,300,-3200.0,0.0,SD,100.0,1500.0,False,-1700.0,10:40:02
120000.0,100,-1500.0,0.0,BU,100.0,1200.0,False,0.0,10:38:06
120000.0,500,-1500.0,0.0,SD,0.0,1200.0,False,0.0,10:35:32
120000.0,100,-1500.0,0.0,SD,0.0,700.0,False,0.0,10:23:56
120000.0,500,-1500.0,0.0,SD,0.0,600.0,False,-1500.0,10:21:22
121500.0,100,0.0,0.0,SD,0.0,100.0,False,0.0,10:13:53
