p,v,cp,rcp,a,ba,sa,hl,pcp,t
38700.0,1000,900.0,0.0,BU,5600.0,5100.0,False,100.0,14:58:31
38600.0,3000,800.0,0.0,BU,4600.0,5100.0,False,400.0,14:54:32
38200.0,100,400.0,0.0,BU,1600.0,5100.0,False,900.0,14:53:55
37300.0,500,-500.0,0.0,SD,1500.0,5100.0,False,-900.0,14:52:57
38200.0,100,400.0,0.0,BU,1500.0,4600.0,False,800.0,14:52:41
37400.0,200,-400.0,0.0,BU,1400.0,4600.0,False,-700.0,14:51:50
38100.0,100,300.0,0.0,BU,1200.0,4600.0,False,-100.0,14:35:52
38200.0,100,400.0,0.0,BU,1100.0,4600.0,False,900.0,13:33:20
37300.0,1500,-500.0,0.0,SD,1000.0,4600.0,False,-200.0,13:12:01
37500.0,3000,-300.0,0.0,SD,1000.0,3100.0,False,-1300.0,13:00:03
38800.0,1000,1000.0,0.0,BU,1000.0,100.0,False,1500.0,09:09:27
37300.0,100,-500.0,0.0,SD,0.0,100.0,False,0.0,09:09:22
