p,v,cp,rcp,a,ba,sa,hl,pcp,t
27300.0,8000,200.0,0.0,BU,94300.0,14900.0,True,200.0,14:57:29
27100.0,15000,0.0,0.0,BU,86300.0,14900.0,True,100.0,14:55:30
27000.0,15000,-100.0,0.0,BU,71300.0,14900.0,True,0.0,14:53:52
27000.0,20000,-100.0,0.0,BU,56300.0,14900.0,True,200.0,14:51:29
26800.0,100,-300.0,0.0,BU,36300.0,14900.0,False,0.0,14:48:35
26800.0,900,-300.0,0.0,SD,36200.0,14900.0,False,200.0,14:31:37
26600.0,5200,-500.0,0.0,SD,36200.0,14000.0,False,-200.0,14:27:22
26800.0,100,-300.0,0.0,BU,36200.0,8800.0,False,200.0,14:25:56
26600.0,25000,-500.0,0.0,BU,36100.0,8800.0,True,0.0,14:22:42
26600.0,100,-500.0,0.0,SD,11100.0,8800.0,False,0.0,13:52:52
26600.0,100,-500.0,0.0,SD,11100.0,8700.0,False,-200.0,13:52:36
26800.0,200,-300.0,0.0,BU,11100.0,8600.0,False,200.0,13:49:04
26600.0,4100,-500.0,0.0,SD,10900.0,8600.0,False,-300.0,13:41:18
26900.0,1000,-200.0,0.0,BU,10900.0,4500.0,False,200.0,10:25:21
26700.0,4500,-400.0,0.0,SD,9900.0,4500.0,False,0.0,09:57:54
26700.0,9900,-400.0,0.0,BU,9900.0,0.0,True,0.0,09:32:11
