p,v,cp,rcp,a,ba,sa,hl,pcp,t
11700.0,9600,200.0,0.0,,105600.0,107100.0,False,100.0,14:45:01
11600.0,100,100.0,0.0,SD,105600.0,107100.0,False,0.0,14:27:40
11600.0,500,100.0,0.0,SD,105600.0,107000.0,False,0.0,14:27:40
11600.0,1000,100.0,0.0,SD,105600.0,106500.0,False,0.0,14:27:40
11600.0,200,100.0,0.0,SD,105600.0,105500.0,False,0.0,14:27:40
11600.0,100,100.0,0.0,SD,105600.0,105300.0,False,0.0,14:27:40
11600.0,100,100.0,0.0,SD,105600.0,105200.0,False,0.0,14:27:40
11600.0,2700,100.0,0.0,SD,105600.0,105100.0,False,-100.0,14:27:40
11700.0,100,200.0,0.0,SD,105600.0,102400.0,False,0.0,14:21:20
11700.0,100,200.0,0.0,SD,105600.0,102300.0,False,0.0,14:21:20
11700.0,300,200.0,0.0,SD,105600.0,102200.0,False,0.0,14:21:20
11700.0,100,200.0,0.0,SD,105600.0,101900.0,False,0.0,14:21:20
11700.0,500,200.0,0.0,BU,105600.0,101800.0,False,0.0,14:17:42
11700.0,1000,200.0,0.0,BU,105100.0,101800.0,False,0.0,14:17:15
11700.0,500,200.0,0.0,BU,104100.0,101800.0,False,0.0,14:17:09
11700.0,1000,200.0,0.0,BU,103600.0,101800.0,False,100.0,14:16:52
11600.0,100,100.0,0.0,SD,102600.0,101800.0,False,0.0,14:11:39
11600.0,100,100.0,0.0,SD,102600.0,101700.0,False,0.0,14:10:54
11600.0,100,100.0,0.0,SD,102600.0,101600.0,False,0.0,14:07:59
11600.0,100,100.0,0.0,SD,102600.0,101500.0,False,-50.0,14:07:05
11650.0,100,150.0,0.0,BU,102600.0,101400.0,False,0.0,14:04:23
11650.0,3000,150.0,0.0,SD,102500.0,101400.0,False,50.0,14:02:23
11600.0,100,100.0,0.0,SD,102500.0,98400.0,False,0.0,14:00:23
11600.0,2600,100.0,0.0,SD,102500.0,98300.0,False,0.0,13:58:01
11600.0,200,100.0,0.0,SD,102500.0,95700.0,False,0.0,13:58:01
11600.0,200,100.0,0.0,SD,102500.0,95500.0,False,0.0,13:58:01
11600.0,100,100.0,0.0,SD,102500.0,95300.0,False,-50.0,13:52:49
11650.0,3000,150.0,0.0,BU,102500.0,95200.0,False,50.0,13:52:34
11600.0,200,100.0,0.0,SD,99500.0,95200.0,False,0.0,13:51:44
11600.0,200,100.0,0.0,SD,99500.0,95000.0,False,0.0,13:50:21
11600.0,500,100.0,0.0,SD,99500.0,94800.0,False,-50.0,13:50:21
11650.0,1000,150.0,0.0,SD,99500.0,94300.0,False,50.0,13:50:21
11600.0,200,100.0,0.0,SD,99500.0,93300.0,False,-50.0,13:50:21
11650.0,500,150.0,0.0,SD,99500.0,93100.0,False,0.0,13:50:21
11650.0,100,150.0,0.0,SD,99500.0,92600.0,False,0.0,13:50:21
11650.0,500,150.0,0.0,SD,99500.0,92500.0,False,-50.0,13:50:21
11700.0,300,200.0,0.0,SD,99500.0,92000.0,False,0.0,13:46:54
11700.0,200,200.0,0.0,SD,99500.0,91700.0,False,0.0,13:45:07
11700.0,200,200.0,0.0,SD,99500.0,91500.0,False,0.0,13:44:48
11700.0,400,200.0,0.0,SD,99500.0,91300.0,False,0.0,13:44:26
11700.0,1000,200.0,0.0,SD,99500.0,90900.0,False,0.0,13:44:09
11700.0,500,200.0,0.0,SD,99500.0,89900.0,False,-50.0,13:43:17
11750.0,500,250.0,0.0,BU,99500.0,89400.0,False,50.0,13:37:48
