p,v,cp,rcp,a,ba,sa,hl,pcp,t
99300.0,33600,-400.0,0.0,,1396500.0,743400.0,False,400.0,14:45:02
98900.0,100,-800.0,0.0,SD,1396500.0,743400.0,False,0.0,14:29:37
98900.0,1500,-800.0,0.0,SD,1396500.0,743300.0,False,0.0,14:29:25
98900.0,500,-800.0,0.0,SD,1396500.0,741800.0,False,0.0,14:29:08
98900.0,700,-800.0,0.0,SD,1396500.0,741300.0,False,0.0,14:29:06
98900.0,800,-800.0,0.0,SD,1396500.0,740600.0,False,0.0,14:29:06
98900.0,1500,-800.0,0.0,SD,1396500.0,739800.0,False,0.0,14:28:49
98900.0,100,-800.0,0.0,BU,1396500.0,738300.0,False,0.0,14:27:50
98900.0,200,-800.0,0.0,BU,1396400.0,738300.0,False,0.0,14:27:50
98900.0,900,-800.0,0.0,BU,1396200.0,738300.0,False,900.0,14:27:50
98000.0,500,-1700.0,0.0,BU,1395300.0,738300.0,False,0.0,14:27:50
98000.0,1000,-1700.0,0.0,BU,1394800.0,738300.0,False,300.0,14:27:50
97700.0,200,-2000.0,0.0,SD,1393800.0,738300.0,False,0.0,14:27:39
97700.0,1500,-2000.0,0.0,SD,1393800.0,738100.0,False,0.0,14:27:23
97700.0,100,-2000.0,0.0,SD,1393800.0,736600.0,False,-100.0,14:27:17
97800.0,100,-1900.0,0.0,BU,1393800.0,736500.0,False,100.0,14:27:17
97700.0,1500,-2000.0,0.0,SD,1393700.0,736500.0,False,0.0,14:27:09
97700.0,200,-2000.0,0.0,SD,1393700.0,735000.0,False,0.0,14:26:56
97700.0,600,-2000.0,0.0,SD,1393700.0,734800.0,False,0.0,14:26:49
97700.0,100,-2000.0,0.0,SD,1393700.0,734200.0,False,0.0,14:26:49
97700.0,100,-2000.0,0.0,SD,1393700.0,734100.0,False,-100.0,14:26:49
97800.0,500,-1900.0,0.0,SD,1393700.0,734000.0,False,-100.0,14:26:49
97900.0,200,-1800.0,0.0,SD,1393700.0,733500.0,False,0.0,14:26:49
97900.0,200,-1800.0,0.0,SD,1393700.0,733300.0,False,0.0,14:26:40
97900.0,300,-1800.0,0.0,SD,1393700.0,733100.0,False,0.0,14:26:40
97900.0,200,-1800.0,0.0,SD,1393700.0,732800.0,False,0.0,14:26:35
97900.0,1500,-1800.0,0.0,SD,1393700.0,732600.0,False,-100.0,14:26:33
98000.0,300,-1700.0,0.0,SD,1393700.0,731100.0,False,0.0,14:26:19
98000.0,100,-1700.0,0.0,SD,1393700.0,730800.0,False,-200.0,14:26:19
98200.0,100,-1500.0,0.0,SD,1393700.0,730700.0,False,100.0,14:26:19
98100.0,200,-1600.0,0.0,SD,1393700.0,730600.0,False,-800.0,14:26:15
98900.0,200,-800.0,0.0,BU,1393700.0,730400.0,False,0.0,14:26:10
98900.0,200,-800.0,0.0,SD,1393500.0,730400.0,False,0.0,14:26:05
98900.0,1200,-800.0,0.0,SD,1393500.0,730200.0,False,0.0,14:26:00
98900.0,300,-800.0,0.0,SD,1393500.0,729000.0,False,0.0,14:26:00
98900.0,1500,-800.0,0.0,SD,1393500.0,728700.0,False,0.0,14:25:38
98900.0,100,-800.0,0.0,BU,1393500.0,727200.0,False,100.0,14:25:36
98800.0,100,-900.0,0.0,BU,1393400.0,727200.0,False,700.0,14:25:36
98100.0,200,-1600.0,0.0,SD,1393300.0,727200.0,False,0.0,14:25:35
98100.0,100,-1600.0,0.0,SD,1393300.0,727000.0,False,0.0,14:25:00
98100.0,100,-1600.0,0.0,SD,1393300.0,726900.0,False,0.0,14:24:43
98100.0,200,-1600.0,0.0,SD,1393300.0,726800.0,False,0.0,14:24:43
98100.0,100,-1600.0,0.0,SD,1393300.0,726600.0,False,0.0,14:24:43
98100.0,500,-1600.0,0.0,SD,1393300.0,726500.0,False,-100.0,14:24:43
98200.0,100,-1500.0,0.0,BU,1393300.0,726000.0,False,-800.0,14:24:43
99000.0,500,-700.0,0.0,BU,1393200.0,726000.0,False,900.0,14:24:07
98100.0,900,-1600.0,0.0,SD,1392700.0,726000.0,False,-800.0,14:23:48
98900.0,100,-800.0,0.0,SD,1392700.0,725100.0,False,0.0,14:23:48
98900.0,1500,-800.0,0.0,SD,1392700.0,725000.0,False,0.0,14:23:43
98900.0,400,-800.0,0.0,SD,1392700.0,723500.0,False,0.0,14:23:28
98900.0,1100,-800.0,0.0,SD,1392700.0,723100.0,False,0.0,14:23:28
98900.0,200,-800.0,0.0,SD,1392700.0,722000.0,False,0.0,14:23:26
98900.0,500,-800.0,0.0,SD,1392700.0,721800.0,False,0.0,14:23:13
98900.0,200,-800.0,0.0,SD,1392700.0,721300.0,False,0.0,14:23:09
98900.0,500,-800.0,0.0,SD,1392700.0,721100.0,False,0.0,14:23:08
98900.0,500,-800.0,0.0,SD,1392700.0,720600.0,False,0.0,14:23:08
98900.0,600,-800.0,0.0,SD,1392700.0,720100.0,False,0.0,14:23:08
98900.0,1500,-800.0,0.0,SD,1392700.0,719500.0,False,0.0,14:23:03
98900.0,500,-800.0,0.0,SD,1392700.0,718000.0,False,0.0,14:23:01
98900.0,200,-800.0,0.0,SD,1392700.0,717500.0,False,0.0,14:23:00
98900.0,1000,-800.0,0.0,SD,1392700.0,717300.0,False,0.0,14:22:58
98900.0,500,-800.0,0.0,SD,1392700.0,716300.0,False,0.0,14:22:55
98900.0,900,-800.0,0.0,SD,1392700.0,715800.0,False,0.0,14:22:49
98900.0,500,-800.0,0.0,SD,1392700.0,714900.0,False,0.0,14:22:48
98900.0,1500,-800.0,0.0,SD,1392700.0,714400.0,False,0.0,14:22:48
98900.0,900,-800.0,0.0,SD,1392700.0,712900.0,False,700.0,14:22:39
98200.0,500,-1500.0,0.0,BU,1392700.0,712000.0,False,0.0,14:22:32
98200.0,500,-1500.0,0.0,BU,1392200.0,712000.0,False,0.0,14:22:32
98200.0,500,-1500.0,0.0,BU,1391700.0,712000.0,False,0.0,14:22:32
98200.0,400,-1500.0,0.0,BU,1391200.0,712000.0,False,0.0,14:22:32
98200.0,100,-1500.0,0.0,BU,1390800.0,712000.0,False,0.0,14:22:27
98200.0,100,-1500.0,0.0,BU,1390700.0,712000.0,False,0.0,14:22:27
98200.0,100,-1500.0,0.0,BU,1390600.0,712000.0,False,0.0,14:20:56
