p,v,cp,rcp,a,ba,sa,hl,pcp,t
11200.0,24400,50.0,0.0,,41500.0,111300.0,False,50.0,14:45:01
11150.0,2200,0.0,0.0,BU,41500.0,111300.0,False,0.0,14:29:13
11150.0,500,0.0,0.0,BU,39300.0,111300.0,False,0.0,14:26:35
11150.0,400,0.0,0.0,BU,38800.0,111300.0,False,0.0,14:26:20
11150.0,300,0.0,0.0,BU,38400.0,111300.0,False,0.0,14:26:09
11150.0,600,0.0,0.0,BU,38100.0,111300.0,False,0.0,14:16:01
11150.0,1000,0.0,0.0,BU,37500.0,111300.0,False,-50.0,14:15:18
11200.0,100,50.0,0.0,BU,36500.0,111300.0,False,50.0,14:10:22
11150.0,300,0.0,0.0,BU,36400.0,111300.0,False,0.0,14:09:56
11150.0,500,0.0,0.0,BU,36100.0,111300.0,False,0.0,14:07:15
11150.0,200,0.0,0.0,BU,35600.0,111300.0,False,0.0,14:05:49
11150.0,500,0.0,0.0,BU,35400.0,111300.0,False,0.0,14:05:17
11150.0,300,0.0,0.0,BU,34900.0,111300.0,False,0.0,14:05:17
11150.0,200,0.0,0.0,BU,34600.0,111300.0,False,0.0,14:05:03
11150.0,100,0.0,0.0,BU,34400.0,111300.0,False,0.0,14:05:03
11150.0,100,0.0,0.0,BU,34300.0,111300.0,False,0.0,14:05:03
11150.0,1100,0.0,0.0,BU,34200.0,111300.0,False,0.0,14:04:00
11150.0,200,0.0,0.0,BU,33100.0,111300.0,False,0.0,14:01:02
11150.0,500,0.0,0.0,BU,32900.0,111300.0,False,0.0,13:59:45
11150.0,100,0.0,0.0,BU,32400.0,111300.0,False,0.0,13:55:26
11150.0,100,0.0,0.0,BU,32300.0,111300.0,False,0.0,13:55:26
11150.0,700,0.0,0.0,BU,32200.0,111300.0,False,0.0,13:52:56
11150.0,200,0.0,0.0,BU,31500.0,111300.0,False,0.0,13:47:26
11150.0,400,0.0,0.0,BU,31300.0,111300.0,False,0.0,13:40:51
11150.0,600,0.0,0.0,BU,30900.0,111300.0,False,0.0,13:29:40
11150.0,200,0.0,0.0,BU,30300.0,111300.0,False,0.0,13:25:46
11150.0,200,0.0,0.0,BU,30100.0,111300.0,False,0.0,13:22:39
11150.0,100,0.0,0.0,BU,29900.0,111300.0,False,150.0,13:21:54
11000.0,700,-150.0,0.0,SD,29800.0,111300.0,False,-150.0,13:20:46
11150.0,600,0.0,0.0,BU,29800.0,110600.0,False,0.0,13:13:51
11150.0,100,0.0,0.0,BU,29200.0,110600.0,False,0.0,13:12:05
11150.0,100,0.0,0.0,BU,29100.0,110600.0,False,0.0,13:12:05
11150.0,100,0.0,0.0,BU,29000.0,110600.0,False,0.0,13:12:05
11150.0,200,0.0,0.0,BU,28900.0,110600.0,False,0.0,13:10:46
11150.0,300,0.0,0.0,BU,28700.0,110600.0,False,0.0,13:09:07
11150.0,300,0.0,0.0,BU,28400.0,110600.0,False,0.0,13:05:03
11150.0,100,0.0,0.0,BU,28100.0,110600.0,False,50.0,13:00:59
11100.0,100,-50.0,0.0,BU,28000.0,110600.0,False,-50.0,13:00:59
11150.0,300,0.0,0.0,BU,27900.0,110600.0,False,0.0,13:00:03
11150.0,300,0.0,0.0,BU,27600.0,110600.0,False,0.0,11:18:04
11150.0,100,0.0,0.0,BU,27300.0,110600.0,False,0.0,11:03:50
11150.0,100,0.0,0.0,BU,27200.0,110600.0,False,0.0,11:03:50
11150.0,100,0.0,0.0,BU,27100.0,110600.0,False,0.0,11:03:50
11150.0,100,0.0,0.0,BU,27000.0,110600.0,False,0.0,11:03:49
11150.0,100,0.0,0.0,BU,26900.0,110600.0,False,0.0,11:03:49
11150.0,600,0.0,0.0,BU,26800.0,110600.0,False,0.0,11:03:08
11150.0,400,0.0,0.0,BU,26200.0,110600.0,False,0.0,11:03:08
11150.0,500,0.0,0.0,BU,25800.0,110600.0,False,0.0,10:59:47
11150.0,100,0.0,0.0,BU,25300.0,110600.0,False,0.0,10:56:02
11150.0,5000,0.0,0.0,BU,25200.0,110600.0,False,-50.0,10:43:35
11200.0,200,50.0,0.0,BU,20200.0,110600.0,False,100.0,10:34:56
11100.0,100,-50.0,0.0,BU,20000.0,110600.0,False,0.0,10:28:00
11100.0,100,-50.0,0.0,BU,19900.0,110600.0,False,0.0,10:28:00
11100.0,100,-50.0,0.0,BU,19800.0,110600.0,False,0.0,10:28:00
11100.0,100,-50.0,0.0,BU,19700.0,110600.0,False,0.0,10:28:00
11100.0,100,-50.0,0.0,BU,19600.0,110600.0,False,0.0,10:28:00
11100.0,100,-50.0,0.0,BU,19500.0,110600.0,False,0.0,10:28:00
11100.0,1100,-50.0,0.0,BU,19400.0,110600.0,False,0.0,10:27:40
11100.0,200,-50.0,0.0,BU,18300.0,110600.0,False,100.0,10:24:50
11000.0,100,-150.0,0.0,SD,18100.0,110600.0,False,0.0,10:24:07
11000.0,99900,-150.0,0.0,SD,18100.0,110500.0,True,0.0,10:22:33
11000.0,100,-150.0,0.0,SD,18100.0,10600.0,False,0.0,10:21:04
11000.0,1400,-150.0,0.0,BU,18100.0,10500.0,False,0.0,10:17:32
11000.0,100,-150.0,0.0,SD,16700.0,10500.0,False,0.0,10:09:08
11000.0,400,-150.0,0.0,BU,16700.0,10400.0,False,0.0,10:05:24
11000.0,100,-150.0,0.0,BU,16300.0,10400.0,False,0.0,10:04:26
11000.0,100,-150.0,0.0,SD,16200.0,10400.0,False,0.0,10:03:04
11000.0,400,-150.0,0.0,BU,16200.0,10300.0,False,0.0,10:02:19
11000.0,200,-150.0,0.0,BU,15800.0,10300.0,False,0.0,10:02:19
11000.0,1000,-150.0,0.0,BU,15600.0,10300.0,False,0.0,10:02:19
11000.0,2000,-150.0,0.0,BU,14600.0,10300.0,False,0.0,10:02:19
11000.0,1000,-150.0,0.0,BU,12600.0,10300.0,False,0.0,10:02:19
11000.0,300,-150.0,0.0,BU,11600.0,10300.0,False,0.0,10:02:19
11000.0,1900,-150.0,0.0,SD,11300.0,10300.0,False,-150.0,10:01:57
11150.0,200,0.0,0.0,SD,11300.0,8400.0,False,-50.0,10:01:57
11200.0,100,50.0,0.0,BU,11300.0,8200.0,False,200.0,09:50:43
11000.0,3200,-150.0,0.0,SD,11200.0,8200.0,False,-200.0,09:48:08
11200.0,100,50.0,0.0,BU,11200.0,5000.0,False,150.0,09:43:19
11050.0,200,-100.0,0.0,SD,11100.0,5000.0,False,0.0,09:42:50
11050.0,1800,-100.0,0.0,SD,11100.0,4800.0,False,-200.0,09:42:50
11250.0,100,100.0,0.0,BU,11100.0,3000.0,False,200.0,09:29:41
11050.0,3000,-100.0,0.0,SD,11000.0,3000.0,False,-50.0,09:26:50
11100.0,500,-50.0,0.0,BU,11000.0,0.0,False,0.0,09:24:13
11100.0,2300,-50.0,0.0,BU,10500.0,0.0,False,0.0,09:23:01
11100.0,4200,-50.0,0.0,BU,8200.0,0.0,False,-200.0,09:23:00
11300.0,400,150.0,0.0,BU,4000.0,0.0,False,0.0,09:17:51
11300.0,1000,150.0,0.0,BU,3600.0,0.0,False,0.0,09:17:51
11300.0,100,150.0,0.0,BU,2600.0,0.0,False,50.0,09:17:51
11250.0,1600,100.0,0.0,BU,2500.0,0.0,False,0.0,09:17:51
11250.0,500,100.0,0.0,BU,900.0,0.0,False,50.0,09:17:51
11200.0,300,50.0,0.0,BU,400.0,0.0,False,0.0,09:17:51
11200.0,100,50.0,0.0,BU,100.0,0.0,False,50.0,09:17:51
11150.0,300,0.0,0.0,,0.0,0.0,False,0.0,09:15:00
