p,v,cp,rcp,a,ba,sa,hl,pcp,t
18250.0,143000,-200.0,0.0,,655300.0,969000.0,False,50.0,14:45:02
18200.0,200,-250.0,0.0,BU,655300.0,969000.0,False,0.0,14:29:27
18200.0,800,-250.0,0.0,BU,655100.0,969000.0,False,0.0,14:29:27
18200.0,4800,-250.0,0.0,SD,654300.0,969000.0,False,-100.0,14:29:20
18300.0,400,-150.0,0.0,BU,654300.0,964200.0,False,0.0,14:29:12
18300.0,700,-150.0,0.0,BU,653900.0,964200.0,False,0.0,14:29:12
18300.0,300,-150.0,0.0,BU,653200.0,964200.0,False,0.0,14:29:12
18300.0,500,-150.0,0.0,BU,652900.0,964200.0,False,0.0,14:29:12
18300.0,100,-150.0,0.0,BU,652400.0,964200.0,False,100.0,14:29:12
18200.0,25200,-250.0,0.0,SD,652300.0,964200.0,True,0.0,14:29:05
18200.0,1800,-250.0,0.0,SD,652300.0,939000.0,False,-100.0,14:29:05
18300.0,400,-150.0,0.0,BU,652300.0,937200.0,False,0.0,14:29:05
18300.0,500,-150.0,0.0,BU,651900.0,937200.0,False,0.0,14:29:05
18300.0,200,-150.0,0.0,BU,651400.0,937200.0,False,0.0,14:29:05
18300.0,100,-150.0,0.0,BU,651200.0,937200.0,False,50.0,14:29:05
18250.0,800,-200.0,0.0,BU,651100.0,937200.0,False,0.0,14:29:05
18250.0,1200,-200.0,0.0,BU,650300.0,937200.0,False,0.0,14:28:43
18250.0,800,-200.0,0.0,BU,649100.0,937200.0,False,50.0,14:28:43
18200.0,200,-250.0,0.0,SD,648300.0,937200.0,False,0.0,14:28:35
18200.0,100,-250.0,0.0,SD,648300.0,937000.0,False,-50.0,14:28:35
18250.0,1200,-200.0,0.0,BU,648300.0,936900.0,False,0.0,14:28:34
18250.0,600,-200.0,0.0,BU,647100.0,936900.0,False,0.0,14:28:34
18250.0,3200,-200.0,0.0,BU,646500.0,936900.0,False,50.0,14:28:34
18200.0,2000,-250.0,0.0,SD,643300.0,936900.0,False,-50.0,14:28:32
18250.0,300,-200.0,0.0,BU,643300.0,934900.0,False,50.0,14:28:32
18200.0,500,-250.0,0.0,SD,643000.0,934900.0,False,-50.0,14:28:19
18250.0,200,-200.0,0.0,BU,643000.0,934400.0,False,0.0,14:28:16
18250.0,1300,-200.0,0.0,BU,642800.0,934400.0,False,0.0,14:28:07
18250.0,500,-200.0,0.0,BU,641500.0,934400.0,False,0.0,14:28:07
18250.0,300,-200.0,0.0,BU,641000.0,934400.0,False,0.0,14:28:07
18250.0,500,-200.0,0.0,BU,640700.0,934400.0,False,0.0,14:28:07
18250.0,1400,-200.0,0.0,BU,640200.0,934400.0,False,50.0,14:28:07
18200.0,2400,-250.0,0.0,SD,638800.0,934400.0,False,0.0,14:28:03
18200.0,600,-250.0,0.0,SD,638800.0,932000.0,False,0.0,14:28:03
18200.0,400,-250.0,0.0,SD,638800.0,931400.0,False,-50.0,14:27:50
18250.0,500,-200.0,0.0,BU,638800.0,931000.0,False,0.0,14:27:47
18250.0,300,-200.0,0.0,BU,638300.0,931000.0,False,0.0,14:27:36
18250.0,100,-200.0,0.0,BU,638000.0,931000.0,False,0.0,14:27:30
18250.0,200,-200.0,0.0,BU,637900.0,931000.0,False,0.0,14:27:24
18250.0,100,-200.0,0.0,BU,637700.0,931000.0,False,50.0,14:27:18
18200.0,300,-250.0,0.0,SD,637600.0,931000.0,False,-50.0,14:27:15
18250.0,200,-200.0,0.0,BU,637600.0,930700.0,False,0.0,14:27:12
18250.0,200,-200.0,0.0,BU,637400.0,930700.0,False,50.0,14:27:05
18200.0,500,-250.0,0.0,BU,637200.0,930700.0,False,0.0,14:26:49
18200.0,4200,-250.0,0.0,BU,636700.0,930700.0,False,0.0,14:26:49
18200.0,200,-250.0,0.0,BU,632500.0,930700.0,False,100.0,14:26:48
18100.0,5000,-350.0,0.0,SD,632300.0,930700.0,False,0.0,14:26:46
18100.0,2000,-350.0,0.0,SD,632300.0,925700.0,False,-100.0,14:26:46
18200.0,300,-250.0,0.0,BU,632300.0,923700.0,False,0.0,14:26:42
18200.0,100,-250.0,0.0,BU,632000.0,923700.0,False,0.0,14:26:36
18200.0,200,-250.0,0.0,BU,631900.0,923700.0,False,0.0,14:26:31
18200.0,500,-250.0,0.0,BU,631700.0,923700.0,False,0.0,14:26:20
18200.0,200,-250.0,0.0,BU,631200.0,923700.0,False,0.0,14:26:17
18200.0,300,-250.0,0.0,SD,631000.0,923700.0,False,0.0,14:26:17
18200.0,100,-250.0,0.0,SD,631000.0,923400.0,False,0.0,14:26:12
18200.0,200,-250.0,0.0,SD,631000.0,923300.0,False,0.0,14:26:12
18200.0,5000,-250.0,0.0,SD,631000.0,923100.0,False,0.0,14:26:10
18200.0,800,-250.0,0.0,SD,631000.0,918100.0,False,0.0,14:26:06
18200.0,1000,-250.0,0.0,SD,631000.0,917300.0,False,0.0,14:26:06
18200.0,700,-250.0,0.0,SD,631000.0,916300.0,False,0.0,14:26:06
18200.0,100,-250.0,0.0,SD,631000.0,915600.0,False,-50.0,14:25:51
18250.0,2000,-200.0,0.0,BU,631000.0,915500.0,False,50.0,14:25:33
18200.0,3000,-250.0,0.0,SD,629000.0,915500.0,False,0.0,14:25:30
18200.0,100,-250.0,0.0,SD,629000.0,912500.0,False,0.0,14:25:30
18200.0,500,-250.0,0.0,SD,629000.0,912400.0,False,0.0,14:25:05
18200.0,600,-250.0,0.0,BU,629000.0,911900.0,False,0.0,14:25:02
18200.0,100,-250.0,0.0,BU,628400.0,911900.0,False,0.0,14:24:38
18200.0,1300,-250.0,0.0,BU,628300.0,911900.0,False,0.0,14:24:38
18200.0,5000,-250.0,0.0,SD,627000.0,911900.0,False,0.0,14:24:33
18200.0,5000,-250.0,0.0,SD,627000.0,906900.0,False,0.0,14:24:30
18200.0,100,-250.0,0.0,SD,627000.0,901900.0,False,-100.0,14:24:24
18300.0,900,-150.0,0.0,BU,627000.0,901800.0,False,0.0,14:24:17
18300.0,100,-150.0,0.0,BU,626100.0,901800.0,False,0.0,14:24:17
18300.0,300,-150.0,0.0,BU,626000.0,901800.0,False,0.0,14:23:45
18300.0,1000,-150.0,0.0,SD,625700.0,901800.0,False,0.0,14:23:45
18300.0,1000,-150.0,0.0,BU,625700.0,900800.0,False,0.0,14:23:35
18300.0,200,-150.0,0.0,BU,624700.0,900800.0,False,0.0,14:23:35
18300.0,200,-150.0,0.0,BU,624500.0,900800.0,False,50.0,14:23:35
18250.0,300,-200.0,0.0,BU,624300.0,900800.0,False,-50.0,14:23:35
18300.0,1800,-150.0,0.0,BU,624000.0,900800.0,False,0.0,14:23:14
18300.0,5000,-150.0,0.0,BU,622200.0,900800.0,False,0.0,14:23:14
18300.0,400,-150.0,0.0,BU,617200.0,900800.0,False,50.0,14:23:14
18250.0,100,-200.0,0.0,BU,616800.0,900800.0,False,0.0,14:23:13
18250.0,600,-200.0,0.0,BU,616700.0,900800.0,False,0.0,14:23:13
18250.0,2100,-200.0,0.0,BU,616100.0,900800.0,False,50.0,14:23:13
18200.0,1000,-250.0,0.0,SD,614000.0,900800.0,False,-50.0,14:23:03
18250.0,3900,-200.0,0.0,SD,614000.0,899800.0,False,0.0,14:22:59
18250.0,100,-200.0,0.0,SD,614000.0,895900.0,False,0.0,14:22:57
18250.0,2000,-200.0,0.0,BU,614000.0,895800.0,False,50.0,14:22:48
18200.0,200,-250.0,0.0,SD,612000.0,895800.0,False,0.0,14:22:43
18200.0,2400,-250.0,0.0,SD,612000.0,895600.0,False,0.0,14:22:35
18200.0,600,-250.0,0.0,SD,612000.0,893200.0,False,0.0,14:22:35
18200.0,2000,-250.0,0.0,SD,612000.0,892600.0,False,0.0,14:22:28
18200.0,800,-250.0,0.0,SD,612000.0,890600.0,False,0.0,14:22:05
18200.0,1000,-250.0,0.0,SD,612000.0,889800.0,False,0.0,14:22:01
18200.0,3000,-250.0,0.0,SD,612000.0,888800.0,False,0.0,14:21:44
18200.0,12600,-250.0,0.0,SD,612000.0,885800.0,True,0.0,14:21:42
18200.0,100,-250.0,0.0,SD,612000.0,873200.0,False,0.0,14:21:42
18200.0,300,-250.0,0.0,SD,612000.0,873100.0,False,0.0,14:21:42
18200.0,2700,-250.0,0.0,SD,612000.0,872800.0,False,0.0,14:21:39
18200.0,300,-250.0,0.0,SD,612000.0,870100.0,False,-200.0,14:21:39
18400.0,2300,-50.0,0.0,BU,612000.0,869800.0,False,0.0,14:21:39
18400.0,500,-50.0,0.0,BU,609700.0,869800.0,False,0.0,14:21:39
18400.0,5000,-50.0,0.0,BU,609200.0,869800.0,False,0.0,14:21:39
18400.0,100,-50.0,0.0,BU,604200.0,869800.0,False,0.0,14:21:39
18400.0,1400,-50.0,0.0,BU,604100.0,869800.0,False,50.0,14:21:39
18350.0,2000,-100.0,0.0,BU,602700.0,869800.0,False,50.0,14:21:39
18300.0,100,-150.0,0.0,BU,600700.0,869800.0,False,0.0,14:21:39
18300.0,100,-150.0,0.0,BU,600600.0,869800.0,False,0.0,14:21:39
18300.0,1000,-150.0,0.0,BU,600500.0,869800.0,False,50.0,14:21:39
18250.0,2500,-200.0,0.0,BU,599500.0,869800.0,False,0.0,14:21:39
18250.0,500,-200.0,0.0,SD,597000.0,869800.0,False,-150.0,14:21:25
18400.0,100,-50.0,0.0,BU,597000.0,869300.0,False,0.0,14:20:27
18400.0,100,-50.0,0.0,BU,596900.0,869300.0,False,0.0,14:20:27
18400.0,400,-50.0,0.0,BU,596800.0,869300.0,False,0.0,14:20:27
18400.0,1000,-50.0,0.0,BU,596400.0,869300.0,False,50.0,14:20:27
18350.0,2000,-100.0,0.0,BU,595400.0,869300.0,False,0.0,14:20:27
18350.0,100,-100.0,0.0,BU,593400.0,869300.0,False,0.0,14:20:27
18350.0,5000,-100.0,0.0,BU,593300.0,869300.0,False,0.0,14:20:27
18350.0,1800,-100.0,0.0,BU,588300.0,869300.0,False,0.0,14:20:27
