p,v,cp,rcp,a,ba,sa,hl,pcp,t
9830.0,500,0.0,0.0,,1400.0,4300.0,False,20.0,14:45:02
9810.0,500,-20.0,0.0,SD,1400.0,4300.0,False,-20.0,14:02:56
9830.0,100,0.0,0.0,SD,1400.0,3800.0,False,-10.0,13:28:42
9840.0,300,10.0,0.0,SD,1400.0,3700.0,False,-10.0,13:17:58
9850.0,200,20.0,0.0,SD,1400.0,3400.0,False,-50.0,13:00:00
9900.0,900,70.0,0.0,BU,1400.0,3200.0,False,0.0,11:07:34
9900.0,400,70.0,0.0,SD,500.0,3200.0,False,0.0,11:07:19
9900.0,100,70.0,0.0,SD,500.0,2800.0,False,0.0,11:07:02
9900.0,1700,70.0,0.0,SD,500.0,2700.0,False,-50.0,11:05:25
9950.0,100,120.0,0.0,BU,500.0,1000.0,False,0.0,10:35:41
9950.0,100,120.0,0.0,BU,400.0,1000.0,False,-10.0,10:28:26
9960.0,300,130.0,0.0,SD,300.0,1000.0,False,-10.0,10:22:46
9970.0,300,140.0,0.0,SD,300.0,700.0,False,-30.0,10:22:46
10000.0,100,170.0,0.0,SD,300.0,400.0,False,-200.0,10:22:46
10200.0,100,370.0,0.0,BU,300.0,300.0,False,-100.0,09:29:04
10300.0,100,470.0,0.0,BU,200.0,300.0,False,0.0,09:28:03
10300.0,100,470.0,0.0,SD,100.0,300.0,False,0.0,09:24:41
10300.0,100,470.0,0.0,SD,100.0,200.0,False,-50.0,09:24:41
10350.0,100,520.0,0.1,SD,100.0,100.0,False,-150.0,09:24:05
10500.0,100,670.0,0.1,BU,100.0,0.0,False,0.0,09:15:47
10500.0,2600,670.0,0.1,,0.0,0.0,False,0.0,09:15:01
