p,v,cp,rcp,a,ba,sa,hl,pcp,t
9000.0,2000,-90.0,0.0,,9300.0,15100.0,False,0.0,14:45:02
9000.0,4700,-90.0,0.0,SD,9300.0,15100.0,False,0.0,14:12:41
9000.0,4700,-90.0,0.0,SD,9300.0,10400.0,False,0.0,14:10:48
9000.0,500,-90.0,0.0,SD,9300.0,5700.0,False,0.0,14:10:48
9000.0,200,-90.0,0.0,SD,9300.0,5200.0,False,0.0,14:09:19
9000.0,7000,-90.0,0.0,BU,9300.0,5000.0,False,0.0,13:58:20
9000.0,3000,-90.0,0.0,SD,2300.0,5000.0,False,-90.0,13:55:07
9090.0,100,0.0,0.0,SD,2300.0,2000.0,False,0.0,13:44:48
9090.0,100,0.0,0.0,BU,2300.0,1900.0,False,0.0,13:29:39
9090.0,300,0.0,0.0,BU,2200.0,1900.0,False,0.0,13:09:11
9090.0,600,0.0,0.0,BU,1900.0,1900.0,False,0.0,13:08:15
9090.0,200,0.0,0.0,BU,1300.0,1900.0,False,0.0,13:06:14
9090.0,900,0.0,0.0,BU,1100.0,1900.0,False,0.0,13:06:14
9090.0,500,0.0,0.0,SD,200.0,1900.0,False,0.0,13:04:01
9090.0,100,0.0,0.0,SD,200.0,1400.0,False,0.0,13:03:45
9090.0,500,0.0,0.0,SD,200.0,1300.0,False,0.0,13:00:08
9090.0,200,0.0,0.0,SD,200.0,800.0,False,0.0,13:00:01
9090.0,100,0.0,0.0,SD,200.0,600.0,False,0.0,11:14:16
9090.0,200,0.0,0.0,SD,200.0,500.0,False,0.0,11:11:43
9090.0,200,0.0,0.0,SD,200.0,300.0,False,0.0,11:11:43
9090.0,100,0.0,0.0,SD,200.0,100.0,False,0.0,10:58:42
9090.0,100,0.0,0.0,BU,200.0,0.0,False,0.0,10:49:15
9090.0,100,0.0,0.0,BU,100.0,0.0,False,0.0,10:49:15
