p,v,cp,rcp,a,ba,sa,hl,pcp,t
9380.0,6300,180.0,0.0,,214500.0,121500.0,False,-80.0,14:45:01
9460.0,200,260.0,0.0,BU,214500.0,121500.0,False,10.0,14:29:23
9450.0,600,250.0,0.0,BU,214300.0,121500.0,False,20.0,14:29:23
9430.0,100,230.0,0.0,BU,213700.0,121500.0,False,-30.0,14:29:07
9460.0,100,260.0,0.0,BU,213600.0,121500.0,False,-10.0,14:26:14
9470.0,100,270.0,0.0,BU,213500.0,121500.0,False,20.0,14:24:03
9450.0,100,250.0,0.0,SD,213400.0,121500.0,False,-20.0,14:23:36
9470.0,1700,270.0,0.0,BU,213400.0,121400.0,False,10.0,14:21:09
9460.0,400,260.0,0.0,BU,211700.0,121400.0,False,-10.0,14:20:59
9470.0,1100,270.0,0.0,BU,211300.0,121400.0,False,10.0,14:20:32
9460.0,2600,260.0,0.0,BU,210200.0,121400.0,False,10.0,14:19:26
9450.0,600,250.0,0.0,SD,207600.0,121400.0,False,0.0,14:17:36
9450.0,300,250.0,0.0,BU,207600.0,120800.0,False,0.0,14:15:50
9450.0,2000,250.0,0.0,BU,207300.0,120800.0,False,0.0,14:15:50
9450.0,200,250.0,0.0,BU,205300.0,120800.0,False,0.0,14:15:50
9450.0,300,250.0,0.0,BU,205100.0,120800.0,False,0.0,14:15:50
9450.0,700,250.0,0.0,SD,204800.0,120800.0,False,0.0,14:05:07
9450.0,100,250.0,0.0,SD,204800.0,120100.0,False,0.0,14:04:46
9450.0,1000,250.0,0.0,SD,204800.0,120000.0,False,0.0,14:04:45
9450.0,200,250.0,0.0,SD,204800.0,119000.0,False,0.0,14:03:59
9450.0,800,250.0,0.0,SD,204800.0,118800.0,False,-10.0,14:02:39
9460.0,1000,260.0,0.0,BU,204800.0,118000.0,False,-10.0,13:57:56
9470.0,8900,270.0,0.0,BU,203800.0,118000.0,False,30.0,13:57:56
9440.0,100,240.0,0.0,BU,194900.0,118000.0,False,0.0,13:57:56
9440.0,900,240.0,0.0,SD,194800.0,118000.0,False,0.0,13:57:48
9440.0,100,240.0,0.0,SD,194800.0,117100.0,False,0.0,13:56:19
9440.0,100,240.0,0.0,BU,194800.0,117000.0,False,0.0,13:55:48
9440.0,400,240.0,0.0,BU,194700.0,117000.0,False,40.0,13:55:48
9400.0,3000,200.0,0.0,BU,194300.0,117000.0,False,50.0,13:54:46
9350.0,1600,150.0,0.0,SD,191300.0,117000.0,False,0.0,13:54:20
9350.0,2000,150.0,0.0,BU,191300.0,115400.0,False,40.0,13:54:11
9310.0,100,110.0,0.0,SD,189300.0,115400.0,False,0.0,13:52:53
9310.0,200,110.0,0.0,SD,189300.0,115300.0,False,0.0,13:52:53
9310.0,100,110.0,0.0,BU,189300.0,115100.0,False,0.0,13:49:24
9310.0,200,110.0,0.0,BU,189200.0,115100.0,False,0.0,13:49:03
9310.0,4700,110.0,0.0,SD,189000.0,115100.0,False,0.0,13:48:54
9310.0,4400,110.0,0.0,SD,189000.0,110400.0,False,0.0,13:48:12
9310.0,1500,110.0,0.0,SD,189000.0,106000.0,False,0.0,13:48:12
9310.0,1000,110.0,0.0,SD,189000.0,104500.0,False,-40.0,13:48:12
9350.0,300,150.0,0.0,BU,189000.0,103500.0,False,0.0,13:47:24
9350.0,1400,150.0,0.0,BU,188700.0,103500.0,False,0.0,13:47:24
9350.0,3600,150.0,0.0,SD,187300.0,103500.0,False,0.0,13:46:21
9350.0,200,150.0,0.0,SD,187300.0,99900.0,False,-10.0,13:46:21
9360.0,1000,160.0,0.0,SD,187300.0,99700.0,False,0.0,13:46:04
9360.0,100,160.0,0.0,SD,187300.0,98700.0,False,-10.0,13:46:04
9370.0,300,170.0,0.0,SD,187300.0,98600.0,False,0.0,13:45:19
9370.0,1000,170.0,0.0,SD,187300.0,98300.0,False,-10.0,13:45:19
9380.0,100,180.0,0.0,SD,187300.0,97300.0,False,-20.0,13:45:19
9400.0,100,200.0,0.0,BU,187300.0,97200.0,False,0.0,13:43:53
9400.0,4500,200.0,0.0,BU,187200.0,97200.0,False,-20.0,13:43:51
9420.0,500,220.0,0.0,BU,182700.0,97200.0,False,0.0,13:43:51
9420.0,1000,220.0,0.0,SD,182200.0,97200.0,False,0.0,13:43:24
9420.0,1500,220.0,0.0,SD,182200.0,96200.0,False,0.0,13:43:03
9420.0,500,220.0,0.0,SD,182200.0,94700.0,False,-10.0,13:43:03
9430.0,2200,230.0,0.0,BU,182200.0,94200.0,False,0.0,13:38:45
9430.0,1000,230.0,0.0,BU,180000.0,94200.0,False,0.0,13:38:29
