p,v,cp,rcp,a,ba,sa,hl,pcp,t
21300.0,100,-300.0,0.0,BU,3000.0,13800.0,False,0.0,14:59:43
21300.0,100,-300.0,0.0,BU,2900.0,13800.0,False,300.0,14:58:43
21000.0,1100,-600.0,0.0,BU,2800.0,13800.0,False,-300.0,14:11:47
21300.0,100,-300.0,0.0,BU,1700.0,13800.0,False,0.0,13:56:34
21300.0,200,-300.0,0.0,BU,1600.0,13800.0,False,0.0,13:55:28
21300.0,300,-300.0,0.0,BU,1400.0,13800.0,False,300.0,13:33:44
21000.0,800,-600.0,0.0,SD,1100.0,13800.0,False,0.0,13:04:55
21000.0,8200,-600.0,0.0,SD,1100.0,13000.0,False,-600.0,13:04:38
21600.0,200,0.0,0.0,BU,1100.0,4800.0,False,0.0,11:10:01
21600.0,100,0.0,0.0,SD,900.0,4800.0,False,0.0,10:27:27
21600.0,100,0.0,0.0,SD,900.0,4700.0,False,-100.0,10:26:31
21700.0,200,100.0,0.0,BU,900.0,4600.0,False,100.0,09:56:56
21600.0,100,0.0,0.0,BU,700.0,4600.0,False,600.0,09:55:40
21000.0,400,-600.0,0.0,BU,600.0,4600.0,False,0.0,09:53:22
21000.0,4600,-600.0,0.0,SD,200.0,4600.0,False,-900.0,09:53:03
21900.0,200,300.0,0.0,BU,200.0,0.0,False,0.0,09:18:17
